,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 204, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020400> block group:3",286,138,,,,,,,,,,934,41.1,-666666666.0,5.6,-666666666.0,-666666666.0,26.5,11.5,41.1
"Block Group 2, Census Tract 204, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020400> block group:2",191,94,,,,,,,,,,716,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 3, Census Tract 203, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020300> block group:3",202,90,,,,,,,,,,3643,36.9,-666666666.0,64.2,-666666666.0,-666666666.0,-666666666.0,37.8,37.0
"Block Group 4, Census Tract 203, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020300> block group:4",126,39,,,,,,,,,,1939,31.9,-666666666.0,62.3,-666666666.0,-666666666.0,-666666666.0,6.7,36.4
"Block Group 4, Census Tract 205, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020500> block group:4",221,99,,,,,,,,,,798,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 2, Census Tract 202, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020200> block group:2",95,36,,,,,,,,,,1371,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 4, Census Tract 202, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020200> block group:4",48,21,,,,,,,,,,1154,29.8,25.6,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8
"Block Group 2, Census Tract 201, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020100> block group:2",78,36,,,,,,,,,,1564,32.6,-666666666.0,15.9,-666666666.0,-666666666.0,-666666666.0,24.1,32.6
"Block Group 1, Census Tract 201, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020100> block group:1",147,51,,,,,,,,,,2051,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 3, Census Tract 201, Morton County, North Dakota: Summary level: 150, state:38> county:059> tract:020100> block group:3",58,17,,,,,,,,,,710,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
