,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9714, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971400> block group:2",177,77,,,,,,,,,,701,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 1, Census Tract 9714, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971400> block group:1",290,148,,,,,,,,,,789,47.8,-666666666.0,4.3,-666666666.0,-666666666.0,-666666666.0,36.5,49.0
"Block Group 1, Census Tract 9711, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971100> block group:1",297,138,,,,,,,,,,787,41.3,-666666666.0,16.6,-666666666.0,-666666666.0,-666666666.0,15.5,41.3
"Block Group 2, Census Tract 9711, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971100> block group:2",150,70,,,,,,,,,,576,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 1, Census Tract 9710, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971000> block group:1",105,49,,,,,,,,,,1179,34.9,-666666666.0,42.2,33.1,-666666666.0,9.4,-666666666.0,35.7
"Block Group 2, Census Tract 9710, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971000> block group:2",127,72,,,,,,,,,,1391,45.8,-666666666.0,35.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 9707, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970700> block group:1",360,161,,,,,,,,,,960,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.7
"Block Group 2, Census Tract 9709, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970900> block group:2",188,7,,,,,,,,,,1007,20.3,19.5,15.7,-666666666.0,-666666666.0,-666666666.0,19.7,20.3
"Block Group 3, Census Tract 9709, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970900> block group:3",192,60,,,,,,,,,,1514,29.2,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.8,29.2
"Block Group 1, Census Tract 9708, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970800> block group:1",329,130,,,,,,,,,,1076,44.7,-666666666.0,56.5,-666666666.0,-666666666.0,42.3,15.5,44.8
"Block Group 3, Census Tract 9710, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971000> block group:3",120,61,,,,,,,,,,1240,32.8,-666666666.0,54.2,-666666666.0,-666666666.0,-666666666.0,31.8,32.8
"Block Group 2, Census Tract 9707, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970700> block group:2",295,123,,,,,,,,,,988,43.0,-666666666.0,14.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 2, Census Tract 9708, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970800> block group:2",425,200,,,,,,,,,,1043,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5,46.3
"Block Group 1, Census Tract 9709, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:970900> block group:1",148,69,,,,,,,,,,1582,43.2,-666666666.0,49.1,-666666666.0,-666666666.0,59.5,-666666666.0,43.2
"Block Group 3, Census Tract 9714, Richland County, North Dakota: Summary level: 150, state:38> county:077> tract:971400> block group:3",399,180,,,,,,,,,,1484,46.0,-666666666.0,13.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
