,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 112, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:011200> block group:3",259,108,,,,,,,,,,807,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 1, Census Tract 112, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:011200> block group:1",303,117,,,,,,,,,,1730,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 1, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:1",75,30,,,,,,,,,,1528,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.4,36.8
"Block Group 3, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:3",82,25,,,,,,,,,,1310,29.6,-666666666.0,20.9,-666666666.0,-666666666.0,-666666666.0,11.5,30.4
"Block Group 4, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:4",191,9,,,,,,,,,,956,20.9,19.2,-666666666.0,24.5,-666666666.0,25.7,18.7,20.9
"Block Group 6, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:6",23,17,,,,,,,,,,398,25.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.2
"Block Group 2, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:2",54,22,,,,,,,,,,965,32.2,-666666666.0,-666666666.0,9.9,-666666666.0,-666666666.0,6.7,32.2
"Block Group 5, Census Tract 104, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010400> block group:5",27,14,,,,,,,,,,880,21.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.7
"Block Group 1, Census Tract 103.01, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010301> block group:1",108,51,,,,,,,,,,1786,28.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,16.1,28.7
"Block Group 2, Census Tract 103.01, Ward County, North Dakota: Summary level: 150, state:38> county:101> tract:010301> block group:2",78,42,,,,,,,,,,1081,30.8,-666666666.0,-666666666.0,29.8,-666666666.0,-666666666.0,-666666666.0,31.1
