,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 3, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000300> block group:1",168,75,,,,,,,,,,1085,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,46.8
"Block Group 2, Census Tract 7.01, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000701> block group:2",54,25,,,,,,,,,,682,31.3,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.2,33.2
"Block Group 1, Census Tract 7.01, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000701> block group:1",117,59,,,,,,,,,,1193,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.3
"Block Group 3, Census Tract 8.02, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000802> block group:3",29,11,,,,,,,,,,363,39.7,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6
"Block Group 5, Census Tract 8.02, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000802> block group:5",99,32,,,,,,,,,,1724,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.7
"Block Group 1, Census Tract 8.01, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:000801> block group:1",201,161,,,,,,,,,,1082,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3,44.3
"Block Group 1, Census Tract 10.02, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:001002> block group:1",82,36,,,,,,,,,,1034,45.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 3, Census Tract 10.02, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:001002> block group:3",133,45,,,,,,,,,,1365,46.5,79.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 3, Census Tract 10.01, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:001001> block group:3",59,28,,,,,,,,,,1203,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 2, Census Tract 10.01, Ashtabula County, Ohio: Summary level: 150, state:39> county:007> tract:001001> block group:2",194,78,,,,,,,,,,976,46.6,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
