,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9731.01, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973101> block group:2",412,75,,,,,,,,,,3009,20.2,19.7,-666666666.0,21.8,-666666666.0,-666666666.0,19.2,20.3
"Block Group 2, Census Tract 9737, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973700> block group:2",149,62,,,,,,,,,,1535,45.5,59.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.3,45.5
"Block Group 3, Census Tract 9737, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973700> block group:3",113,53,,,,,,,,,,1229,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.1,43.4
"Block Group 1, Census Tract 9737, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973700> block group:1",109,59,,,,,,,,,,1039,37.9,16.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4,37.9
"Block Group 1, Census Tract 9738, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973800> block group:1",56,26,,,,,,,,,,904,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 2, Census Tract 9738, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973800> block group:2",93,34,,,,,,,,,,1312,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 3, Census Tract 9738, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973800> block group:3",160,64,,,,,,,,,,1310,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 4, Census Tract 9738, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:973800> block group:4",265,125,,,,,,,,,,1500,39.9,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.0,39.9
"Block Group 1, Census Tract 9727, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:972700> block group:1",54,22,,,,,,,,,,733,32.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.1
"Block Group 4, Census Tract 9727, Athens County, Ohio: Summary level: 150, state:39> county:009> tract:972700> block group:4",61,27,,,,,,,,,,802,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
