,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 402, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040200> block group:4",178,59,,,,,,,,,,1683,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1,-666666666.0,48.1
"Block Group 4, Census Tract 406, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040600> block group:4",145,49,,,,,,,,,,887,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 1, Census Tract 406, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040600> block group:1",56,32,,,,,,,,,,523,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 2, Census Tract 406, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040600> block group:2",63,32,,,,,,,,,,712,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.2,43.4
"Block Group 3, Census Tract 406, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040600> block group:3",143,48,,,,,,,,,,1441,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 1, Census Tract 401, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040100> block group:1",182,70,,,,,,,,,,1397,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 3, Census Tract 401, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040100> block group:3",274,113,,,,,,,,,,852,46.3,-666666666.0,-666666666.0,-666666666.0,53.1,19.8,16.6,46.3
"Block Group 2, Census Tract 401, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040100> block group:2",199,86,,,,,,,,,,1014,37.8,-666666666.0,-666666666.0,24.5,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 4, Census Tract 401, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040100> block group:4",115,48,,,,,,,,,,753,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.4,50.2
"Block Group 1, Census Tract 410, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041000> block group:1",271,87,,,,,,,,,,1672,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 1, Census Tract 409, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040900> block group:1",224,85,,,,,,,,,,1547,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 3, Census Tract 409, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:040900> block group:3",247,103,,,,,,,,,,1316,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,43.1
"Block Group 4, Census Tract 411, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041100> block group:4",118,32,,,,,,,,,,1119,30.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.2,30.1
"Block Group 3, Census Tract 411, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041100> block group:3",134,59,,,,,,,,,,1020,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 1, Census Tract 411, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041100> block group:1",363,155,,,,,,,,,,1039,39.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,39.9
"Block Group 1, Census Tract 412.01, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041201> block group:1",117,57,,,,,,,,,,671,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 412.01, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041201> block group:2",177,77,,,,,,,,,,1324,47.9,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 2, Census Tract 412.02, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041202> block group:2",44,24,,,,,,,,,,611,58.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
"Block Group 1, Census Tract 412.02, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041202> block group:1",57,27,,,,,,,,,,1129,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 3, Census Tract 412.02, Auglaize County, Ohio: Summary level: 150, state:39> county:011> tract:041202> block group:3",69,23,,,,,,,,,,1550,21.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.9
