,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 7202, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720200> block group:2",145,58,,,,,,,,,,1689,48.4,17.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.6,48.4
"Block Group 1, Census Tract 7202, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720200> block group:1",76,29,,,,,,,,,,739,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.7
"Block Group 1, Census Tract 7204, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720400> block group:1",221,102,,,,,,,,,,1523,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 2, Census Tract 7207, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720700> block group:2",174,74,,,,,,,,,,850,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 5, Census Tract 7203, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720300> block group:5",67,34,,,,,,,,,,1223,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 1, Census Tract 7203, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720300> block group:1",141,69,,,,,,,,,,998,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9,54.0
"Block Group 4, Census Tract 7203, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720300> block group:4",70,30,,,,,,,,,,920,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.9,49.5
"Block Group 1, Census Tract 7201, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720100> block group:1",152,59,,,,,,,,,,1853,41.6,-666666666.0,-666666666.0,53.3,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 2, Census Tract 7206, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720600> block group:2",128,61,,,,,,,,,,1198,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1
"Block Group 2, Census Tract 7201, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720100> block group:2",173,65,,,,,,,,,,1663,39.4,23.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 2, Census Tract 7203, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720300> block group:2",161,68,,,,,,,,,,1062,32.4,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1,32.4
"Block Group 3, Census Tract 7203, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720300> block group:3",55,26,,,,,,,,,,803,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 3, Census Tract 7202, Carroll County, Ohio: Summary level: 150, state:39> county:019> tract:720200> block group:3",132,55,,,,,,,,,,1374,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.5
