,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9649, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964900> block group:4",123,51,,,,,,,,,,1675,33.9,-666666666.0,-666666666.0,30.7,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 2, Census Tract 9649, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964900> block group:2",38,18,,,,,,,,,,457,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 4, Census Tract 9646, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964600> block group:4",48,21,,,,,,,,,,624,36.9,25.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 2, Census Tract 9646, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964600> block group:2",55,20,,,,,,,,,,536,50.6,38.4,-666666666.0,-666666666.0,-666666666.0,15.7,-666666666.0,50.6
"Block Group 3, Census Tract 9643, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964300> block group:3",119,54,,,,,,,,,,1016,32.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 2, Census Tract 9643, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964300> block group:2",95,40,,,,,,,,,,1143,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8
"Block Group 3, Census Tract 9646, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964600> block group:3",64,37,,,,,,,,,,664,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.7,53.4
"Block Group 1, Census Tract 9646, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964600> block group:1",73,35,,,,,,,,,,669,37.8,71.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 2, Census Tract 9644, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964400> block group:2",239,94,,,,,,,,,,2312,42.2,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 1, Census Tract 9644, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964400> block group:1",143,60,,,,,,,,,,1052,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.5,34.9
"Block Group 2, Census Tract 9645, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964500> block group:2",66,31,,,,,,,,,,1074,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,52.3
"Block Group 4, Census Tract 9645, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964500> block group:4",105,48,,,,,,,,,,1680,34.7,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.6,34.7
"Block Group 1, Census Tract 9647, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964700> block group:1",266,38,,,,,,,,,,1986,22.1,22.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.0,21.8
"Block Group 3, Census Tract 9647, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964700> block group:3",120,59,,,,,,,,,,1692,36.0,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.3,36.0
"Block Group 1, Census Tract 9649, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964900> block group:1",76,32,,,,,,,,,,1015,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.0,47.3
"Block Group 2, Census Tract 9651, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:965100> block group:2",177,71,,,,,,,,,,1689,45.3,-666666666.0,-666666666.0,54.2,-666666666.0,-666666666.0,14.1,45.4
"Block Group 3, Census Tract 9649, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964900> block group:3",168,66,,,,,,,,,,1896,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8
"Block Group 3, Census Tract 9644, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964400> block group:3",148,63,,,,,,,,,,1883,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 1, Census Tract 9645, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964500> block group:1",125,62,,,,,,,,,,2691,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 3, Census Tract 9645, Clinton County, Ohio: Summary level: 150, state:39> county:027> tract:964500> block group:3",56,26,,,,,,,,,,1122,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
