,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9616, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961600> block group:2",91,43,,,,,,,,,,921,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 3, Census Tract 9617, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961700> block group:3",103,46,,,,,,,,,,989,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 2, Census Tract 9617, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961700> block group:2",52,27,,,,,,,,,,474,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6
"Block Group 4, Census Tract 9618, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961800> block group:4",174,77,,,,,,,,,,1810,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 2, Census Tract 9618, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961800> block group:2",180,72,,,,,,,,,,1373,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,45.2
"Block Group 3, Census Tract 9615, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961500> block group:3",80,37,,,,,,,,,,992,27.8,30.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.8
"Block Group 1, Census Tract 9616, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961600> block group:1",89,39,,,,,,,,,,865,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 1, Census Tract 9617, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961700> block group:1",131,53,,,,,,,,,,1369,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.5,52.5
"Block Group 1, Census Tract 9618, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961800> block group:1",71,31,,,,,,,,,,1273,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 3, Census Tract 9618, Coshocton County, Ohio: Summary level: 150, state:39> county:031> tract:961800> block group:3",129,66,,,,,,,,,,704,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
