,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 117.10, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011710> block group:3",155,60,,,,,,,,,,2602,46.4,33.7,-666666666.0,34.1,-666666666.0,-666666666.0,3.9,45.6
"Block Group 2, Census Tract 117.30, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011730> block group:2",143,52,,,,,,,,,,2295,35.6,12.1,-666666666.0,-666666666.0,-666666666.0,26.8,13.7,35.6
"Block Group 4, Census Tract 114.21, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011421> block group:4",118,37,,,,,,,,,,1844,34.3,20.4,-666666666.0,40.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 3, Census Tract 115.60, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011560> block group:3",166,47,,,,,,,,,,2345,39.7,37.8,-666666666.0,39.9,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 1, Census Tract 104.22, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:010422> block group:1",121,51,,,,,,,,,,2502,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.8,4.9,32.6
"Block Group 1, Census Tract 121, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012100> block group:1",238,74,,,,,,,,,,4019,31.9,-666666666.0,-666666666.0,37.4,-666666666.0,-666666666.0,6.7,32.0
"Block Group 2, Census Tract 121, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012100> block group:2",195,65,,,,,,,,,,3395,34.9,20.6,-666666666.0,28.8,-666666666.0,-666666666.0,-666666666.0,34.7
"Block Group 1, Census Tract 115.61, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011561> block group:1",144,72,,,,,,,,,,2352,31.1,57.3,-666666666.0,43.5,-666666666.0,-666666666.0,34.6,30.3
"Block Group 2, Census Tract 115.61, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011561> block group:2",185,76,,,,,,,,,,2282,33.2,18.2,-666666666.0,33.1,-666666666.0,-666666666.0,28.5,33.5
"Block Group 2, Census Tract 117.62, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011762> block group:2",201,82,,,,,,,,,,2665,46.3,54.0,-666666666.0,52.8,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 117.62, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011762> block group:1",177,75,,,,,,,,,,2884,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.6,-666666666.0,44.4
"Block Group 2, Census Tract 116.04, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011604> block group:2",355,128,,,,,,,,,,2723,35.6,35.7,-666666666.0,44.6,-666666666.0,-666666666.0,7.4,35.7
"Block Group 1, Census Tract 116.04, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011604> block group:1",248,94,,,,,,,,,,3067,42.3,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.1,43.1
"Block Group 2, Census Tract 112, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011200> block group:2",92,34,,,,,,,,,,902,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 112, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011200> block group:1",207,93,,,,,,,,,,2267,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 114.11, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011411> block group:1",251,99,,,,,,,,,,1214,41.5,70.9,-666666666.0,38.7,-666666666.0,-666666666.0,18.1,41.4
"Block Group 2, Census Tract 115.50, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011550> block group:2",127,44,,,,,,,,,,1967,39.5,-666666666.0,-666666666.0,39.1,-666666666.0,-666666666.0,5.7,39.5
"Block Group 1, Census Tract 115.50, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011550> block group:1",244,67,,,,,,,,,,3645,32.1,42.4,-666666666.0,34.6,-666666666.0,-666666666.0,17.0,31.9
"Block Group 2, Census Tract 114.23, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011423> block group:2",195,58,,,,,,,,,,3179,37.7,39.1,-666666666.0,34.4,8.7,-666666666.0,16.5,37.6
"Block Group 1, Census Tract 114.30, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011430> block group:1",106,65,,,,,,,,,,1217,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 114.30, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:011430> block group:2",153,51,,,,,,,,,,1583,45.4,-666666666.0,-666666666.0,44.3,-666666666.0,34.0,14.9,45.5
"Block Group 1, Census Tract 104.21, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:010421> block group:1",326,151,,,,,,,,,,2543,41.3,41.8,-666666666.0,35.5,-666666666.0,-666666666.0,24.1,41.9
"Block Group 2, Census Tract 122, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012200> block group:2",160,79,,,,,,,,,,2101,28.9,38.6,-666666666.0,9.1,-666666666.0,-666666666.0,17.2,28.9
"Block Group 1, Census Tract 122, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012200> block group:1",298,94,,,,,,,,,,2842,40.4,32.2,-666666666.0,57.4,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 3, Census Tract 120, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012000> block group:3",388,139,,,,,,,,,,2161,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 120, Delaware County, Ohio: Summary level: 150, state:39> county:041> tract:012000> block group:1",151,61,,,,,,,,,,2047,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
