,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 3101, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:310100> block group:2",217,90,,,,,,,,,,1238,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 2, Census Tract 3102, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:310200> block group:2",193,77,,,,,,,,,,1353,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9,38.9
"Block Group 2, Census Tract 3118, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:311800> block group:2",78,30,,,,,,,,,,1176,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 2, Census Tract 3124, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:312400> block group:2",221,66,,,,,,,,,,1258,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.3
"Block Group 1, Census Tract 3124, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:312400> block group:1",209,45,,,,,,,,,,1221,21.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.9
"Block Group 5, Census Tract 3114, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:311400> block group:5",60,23,,,,,,,,,,1062,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
"Block Group 4, Census Tract 3114, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:311400> block group:4",54,26,,,,,,,,,,1059,54.7,-666666666.0,-666666666.0,26.8,-666666666.0,-666666666.0,-666666666.0,54.9
"Block Group 3, Census Tract 3114, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:311400> block group:3",85,28,,,,,,,,,,1237,50.8,74.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 3, Census Tract 3108, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:310800> block group:3",161,51,,,,,,,,,,2408,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,47.2
"Block Group 4, Census Tract 3108, Geauga County, Ohio: Summary level: 150, state:39> county:055> tract:310800> block group:4",63,17,,,,,,,,,,937,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2
