,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9574, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957400> block group:2",62,25,,,,,,,,,,1032,42.4,67.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3,42.4
"Block Group 3, Census Tract 9574, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957400> block group:3",71,27,,,,,,,,,,1426,36.5,-666666666.0,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 1, Census Tract 9574, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957400> block group:1",69,32,,,,,,,,,,1092,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 4, Census Tract 9574, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957400> block group:4",88,28,,,,,,,,,,1664,29.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.7,29.6
"Block Group 3, Census Tract 9572, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957200> block group:3",36,15,,,,,,,,,,570,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 5, Census Tract 9572, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957200> block group:5",56,31,,,,,,,,,,1074,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 1, Census Tract 9572, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957200> block group:1",77,24,,,,,,,,,,1587,25.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.5,25.3
"Block Group 4, Census Tract 9572, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957200> block group:4",60,26,,,,,,,,,,1085,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,43.6
"Block Group 2, Census Tract 9572, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957200> block group:2",48,22,,,,,,,,,,1025,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 4, Census Tract 9578, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957800> block group:4",80,38,,,,,,,,,,913,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 1, Census Tract 9578, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957800> block group:1",148,50,,,,,,,,,,1910,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.6,30.4
"Block Group 3, Census Tract 9576, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957600> block group:3",68,25,,,,,,,,,,715,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,39.9
"Block Group 2, Census Tract 9578, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957800> block group:2",158,82,,,,,,,,,,1236,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 5, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:5",47,22,,,,,,,,,,875,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 4, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:4",51,24,,,,,,,,,,835,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 5, Census Tract 9577, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957700> block group:5",80,36,,,,,,,,,,1046,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.0,35.2
"Block Group 2, Census Tract 9577, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957700> block group:2",37,13,,,,,,,,,,571,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 1, Census Tract 9576, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957600> block group:1",130,47,,,,,,,,,,1309,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 1, Census Tract 9573, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957300> block group:1",60,26,,,,,,,,,,912,28.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.5,28.5
"Block Group 3, Census Tract 9578, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957800> block group:3",174,70,,,,,,,,,,1490,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.7,35.8
"Block Group 1, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:1",44,17,,,,,,,,,,698,47.8,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:3",47,22,,,,,,,,,,1287,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:2",42,19,,,,,,,,,,667,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 6, Census Tract 9575, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957500> block group:6",63,32,,,,,,,,,,1228,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 3, Census Tract 9577, Jackson County, Ohio: Summary level: 150, state:39> county:079> tract:957700> block group:3",79,28,,,,,,,,,,1811,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
