,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 2027, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:202700> block group:2",79,33,,,,,,,,,,1401,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 2027, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:202700> block group:1",141,50,,,,,,,,,,2443,43.5,-666666666.0,-666666666.0,37.5,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 3, Census Tract 2027, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:202700> block group:3",55,25,,,,,,,,,,823,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 2, Census Tract 2047, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:204700> block group:2",96,46,,,,,,,,,,1920,31.5,22.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 1, Census Tract 2047, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:204700> block group:1",104,49,,,,,,,,,,1925,46.8,-666666666.0,-666666666.0,6.5,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 1, Census Tract 2054, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:205400> block group:1",449,170,,,,,,,,,,1636,42.4,20.3,-666666666.0,17.1,-666666666.0,-666666666.0,38.0,42.3
"Block Group 1, Census Tract 2004, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:200400> block group:1",134,75,,,,,,,,,,1408,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 1, Census Tract 2014, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:201400> block group:1",120,67,,,,,,,,,,1356,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 2, Census Tract 2042, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:204200> block group:2",90,35,,,,,,,,,,1241,33.3,21.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.0,50.6
"Block Group 4, Census Tract 2042, Lake County, Ohio: Summary level: 150, state:39> county:085> tract:204200> block group:4",73,31,,,,,,,,,,885,40.2,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2,35.7
