,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:2",76,8,,,,,,,,,,546,65.3,88.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.3
"Block Group 5, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:5",56,27,,,,,,,,,,972,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5
"Block Group 3, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:3",57,32,,,,,,,,,,1022,38.8,75.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 6, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:6",62,27,,,,,,,,,,1684,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 513, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051300> block group:1",148,77,,,,,,,,,,618,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 3, Census Tract 513, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051300> block group:3",137,61,,,,,,,,,,1578,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 513, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051300> block group:2",122,59,,,,,,,,,,1303,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 1, Census Tract 509, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050900> block group:1",129,61,,,,,,,,,,870,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 1, Census Tract 510.02, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051002> block group:1",105,43,,,,,,,,,,1639,34.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.2
"Block Group 2, Census Tract 510.02, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051002> block group:2",128,54,,,,,,,,,,1542,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 2, Census Tract 506, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050600> block group:2",100,44,,,,,,,,,,669,43.0,71.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 3, Census Tract 510.01, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051001> block group:3",114,52,,,,,,,,,,1386,42.2,-666666666.0,-666666666.0,9.3,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 1, Census Tract 504, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050400> block group:1",67,31,,,,,,,,,,885,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 3, Census Tract 503, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050300> block group:3",48,27,,,,,,,,,,798,34.5,53.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,86.0,34.5
"Block Group 1, Census Tract 508, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050800> block group:1",81,36,,,,,,,,,,1171,35.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.6
"Block Group 2, Census Tract 508, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050800> block group:2",81,35,,,,,,,,,,1130,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,54.4
"Block Group 2, Census Tract 504, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050400> block group:2",94,42,,,,,,,,,,1014,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 3, Census Tract 504, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050400> block group:3",61,23,,,,,,,,,,732,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8
"Block Group 1, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:1",46,23,,,,,,,,,,777,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.9
"Block Group 2, Census Tract 507, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050700> block group:2",114,43,,,,,,,,,,1450,43.0,17.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 1, Census Tract 507, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050700> block group:1",92,39,,,,,,,,,,1372,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 2, Census Tract 510.01, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051001> block group:2",89,42,,,,,,,,,,995,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 510.01, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051001> block group:1",88,49,,,,,,,,,,1100,44.5,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.6,44.5
"Block Group 1, Census Tract 502, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050200> block group:1",59,34,,,,,,,,,,607,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 3, Census Tract 502, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050200> block group:3",67,26,,,,,,,,,,1041,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.7
"Block Group 5, Census Tract 505, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050500> block group:5",62,27,,,,,,,,,,1469,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 3, Census Tract 505, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050500> block group:3",52,23,,,,,,,,,,1002,31.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.9
"Block Group 4, Census Tract 505, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050500> block group:4",55,31,,,,,,,,,,1040,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 3, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:3",38,19,,,,,,,,,,890,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 4, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:4",81,34,,,,,,,,,,1022,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,74.2,34.0
"Block Group 5, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:5",89,44,,,,,,,,,,653,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 2, Census Tract 501, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050100> block group:2",99,32,,,,,,,,,,1006,55.5,88.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 3, Census Tract 501, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050100> block group:3",49,26,,,,,,,,,,466,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1
"Block Group 2, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:2",41,15,,,,,,,,,,567,34.9,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 1, Census Tract 503, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050300> block group:1",84,40,,,,,,,,,,676,39.2,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 514.02, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051402> block group:1",174,93,,,,,,,,,,1255,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,44.0
"Block Group 4, Census Tract 510.01, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051001> block group:4",61,26,,,,,,,,,,883,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.8
"Block Group 2, Census Tract 502, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050200> block group:2",69,37,,,,,,,,,,824,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 510.02, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051002> block group:3",115,51,,,,,,,,,,1598,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 1, Census Tract 506, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050600> block group:1",88,45,,,,,,,,,,655,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 2, Census Tract 514.02, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051402> block group:2",149,65,,,,,,,,,,1462,47.7,27.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.2,47.7
"Block Group 2, Census Tract 514.01, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051401> block group:2",60,30,,,,,,,,,,1298,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 1, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:1",184,88,,,,,,,,,,815,42.0,12.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 2, Census Tract 505, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050500> block group:2",93,40,,,,,,,,,,2321,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 1, Census Tract 505, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050500> block group:1",44,22,,,,,,,,,,812,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 6, Census Tract 512, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051200> block group:6",71,32,,,,,,,,,,1556,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.0
"Block Group 1, Census Tract 501, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:050100> block group:1",79,39,,,,,,,,,,1007,32.0,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 4, Census Tract 511, Lawrence County, Ohio: Summary level: 150, state:39> county:087> tract:051100> block group:4",76,33,,,,,,,,,,1756,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.2
