,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9646, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964600> block group:2",129,55,,,,,,,,,,892,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 4, Census Tract 9646, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964600> block group:4",83,39,,,,,,,,,,814,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 1, Census Tract 9644, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964400> block group:1",151,81,,,,,,,,,,752,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 4, Census Tract 9644, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964400> block group:4",145,81,,,,,,,,,,885,40.0,58.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4,40.0
"Block Group 4, Census Tract 9642, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964200> block group:4",93,40,,,,,,,,,,1204,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 3, Census Tract 9642, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964200> block group:3",131,59,,,,,,,,,,1647,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 4, Census Tract 9643, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964300> block group:4",111,50,,,,,,,,,,1591,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 1, Census Tract 9643, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964300> block group:1",196,89,,,,,,,,,,900,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 2, Census Tract 9643, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964300> block group:2",106,52,,,,,,,,,,1212,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 1, Census Tract 9645, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964500> block group:1",161,77,,,,,,,,,,831,45.1,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.9,45.1
"Block Group 2, Census Tract 9645, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964500> block group:2",361,171,,,,,,,,,,1511,41.1,54.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,41.1
"Block Group 1, Census Tract 9646, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964600> block group:1",80,36,,,,,,,,,,860,32.3,-666666666.0,-666666666.0,19.4,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 1, Census Tract 9641, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964100> block group:1",111,59,,,,,,,,,,1363,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 4, Census Tract 9641, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964100> block group:4",77,36,,,,,,,,,,907,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 2, Census Tract 9644, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964400> block group:2",101,52,,,,,,,,,,638,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.1
"Block Group 2, Census Tract 9641, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964100> block group:2",76,32,,,,,,,,,,1109,33.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.7
"Block Group 3, Census Tract 9644, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964400> block group:3",128,63,,,,,,,,,,875,51.4,57.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.4,51.4
"Block Group 1, Census Tract 9642, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964200> block group:1",78,35,,,,,,,,,,971,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 2, Census Tract 9642, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964200> block group:2",95,47,,,,,,,,,,1069,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 3, Census Tract 9643, Meigs County, Ohio: Summary level: 150, state:39> county:105> tract:964300> block group:3",60,32,,,,,,,,,,908,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
