,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9668, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966800> block group:3",134,70,,,,,,,,,,936,43.4,12.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.5,45.3
"Block Group 1, Census Tract 9668, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966800> block group:1",218,101,,,,,,,,,,1085,44.3,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 4, Census Tract 9668, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966800> block group:4",166,75,,,,,,,,,,1352,56.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.5
"Block Group 4, Census Tract 9666, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966600> block group:4",113,53,,,,,,,,,,1221,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 1, Census Tract 9666, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966600> block group:1",187,90,,,,,,,,,,569,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 9667, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966700> block group:2",254,116,,,,,,,,,,1373,46.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.5,46.3
"Block Group 3, Census Tract 9667, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966700> block group:3",241,106,,,,,,,,,,593,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 1, Census Tract 9667, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966700> block group:1",119,47,,,,,,,,,,1125,32.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 2, Census Tract 9669, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966900> block group:2",81,48,,,,,,,,,,560,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 4, Census Tract 9669, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966900> block group:4",88,45,,,,,,,,,,953,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6
"Block Group 3, Census Tract 9669, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966900> block group:3",136,60,,,,,,,,,,957,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.7
"Block Group 2, Census Tract 9668, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966800> block group:2",97,48,,,,,,,,,,761,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 3, Census Tract 9666, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966600> block group:3",54,28,,,,,,,,,,685,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 2, Census Tract 9666, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966600> block group:2",128,64,,,,,,,,,,768,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 4, Census Tract 9667, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966700> block group:4",55,28,,,,,,,,,,682,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 1, Census Tract 9669, Monroe County, Ohio: Summary level: 150, state:39> county:111> tract:966900> block group:1",117,58,,,,,,,,,,927,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
