,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9601, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960100> block group:2",86,42,,,,,,,,,,968,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 4, Census Tract 9605, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960500> block group:4",136,58,,,,,,,,,,917,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.1,39.7
"Block Group 2, Census Tract 9605, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960500> block group:2",238,100,,,,,,,,,,846,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.8,10.2,43.1
"Block Group 3, Census Tract 9604, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960400> block group:3",84,31,,,,,,,,,,1073,23.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6,18.5,23.6
"Block Group 2, Census Tract 9604, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960400> block group:2",185,84,,,,,,,,,,1944,51.8,27.2,-666666666.0,-666666666.0,-666666666.0,11.7,5.8,50.8
"Block Group 3, Census Tract 9602, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960200> block group:3",162,70,,,,,,,,,,1071,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 2, Census Tract 9602, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960200> block group:2",214,90,,,,,,,,,,1416,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 3, Census Tract 9603, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960300> block group:3",190,82,,,,,,,,,,755,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5,-666666666.0,39.2
"Block Group 4, Census Tract 9603, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960300> block group:4",366,159,,,,,,,,,,1724,44.6,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5,46.9
"Block Group 2, Census Tract 9603, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960300> block group:2",155,70,,,,,,,,,,928,38.3,58.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.4,38.3
"Block Group 3, Census Tract 9601, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960100> block group:3",80,41,,,,,,,,,,878,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 1, Census Tract 9601, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960100> block group:1",91,37,,,,,,,,,,962,42.4,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 3, Census Tract 9605, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960500> block group:3",244,104,,,,,,,,,,935,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.5,-666666666.0,47.1
"Block Group 1, Census Tract 9605, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960500> block group:1",170,76,,,,,,,,,,999,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 1, Census Tract 9604, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960400> block group:1",124,52,,,,,,,,,,1150,48.9,-666666666.0,-666666666.0,24.1,-666666666.0,-666666666.0,7.6,49.0
"Block Group 1, Census Tract 9602, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960200> block group:1",302,132,,,,,,,,,,1969,40.2,-666666666.0,77.4,-666666666.0,-666666666.0,-666666666.0,16.6,41.9
"Block Group 1, Census Tract 9603, Paulding County, Ohio: Summary level: 150, state:39> county:125> tract:960300> block group:1",60,25,,,,,,,,,,630,41.6,-666666666.0,-666666666.0,25.6,-666666666.0,-666666666.0,-666666666.0,41.4
