,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 302, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030200> block group:2",238,112,,,,,,,,,,1056,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5,35.6
"Block Group 1, Census Tract 302, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030200> block group:1",118,45,,,,,,,,,,1556,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 4, Census Tract 302, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030200> block group:4",276,105,,,,,,,,,,2105,39.1,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 3, Census Tract 302, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030200> block group:3",285,123,,,,,,,,,,1159,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 3, Census Tract 306, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030600> block group:3",76,30,,,,,,,,,,978,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 1, Census Tract 305, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030500> block group:1",178,72,,,,,,,,,,1350,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 2, Census Tract 306, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030600> block group:2",196,74,,,,,,,,,,1670,40.5,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 4, Census Tract 301, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030100> block group:4",383,136,,,,,,,,,,1491,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.3,43.3,38.3
"Block Group 2, Census Tract 301, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030100> block group:2",192,83,,,,,,,,,,1287,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.7,33.8,47.7
"Block Group 3, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:3",107,44,,,,,,,,,,1843,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3,-666666666.0,45.6
"Block Group 5, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:5",70,27,,,,,,,,,,1018,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0,-666666666.0,35.0
"Block Group 6, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:6",409,148,,,,,,,,,,1468,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.4,-666666666.0,41.2
"Block Group 4, Census Tract 307, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030700> block group:4",396,173,,,,,,,,,,941,49.0,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 3, Census Tract 307, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030700> block group:3",359,144,,,,,,,,,,1314,43.0,-666666666.0,-666666666.0,16.4,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 1, Census Tract 307, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030700> block group:1",201,78,,,,,,,,,,1107,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.3,38.4
"Block Group 2, Census Tract 307, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030700> block group:2",284,103,,,,,,,,,,1507,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 3, Census Tract 304, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030400> block group:3",211,96,,,,,,,,,,1118,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 2, Census Tract 304, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030400> block group:2",173,66,,,,,,,,,,1040,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.3,43.8
"Block Group 1, Census Tract 304, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030400> block group:1",172,71,,,,,,,,,,1144,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.1,3.8,39.3
"Block Group 2, Census Tract 305, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030500> block group:2",186,80,,,,,,,,,,1400,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 3, Census Tract 305, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030500> block group:3",151,68,,,,,,,,,,986,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6,-666666666.0,39.9
"Block Group 1, Census Tract 306, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030600> block group:1",191,69,,,,,,,,,,1520,40.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 3, Census Tract 301, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030100> block group:3",162,63,,,,,,,,,,1017,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.2,4.8,41.4
"Block Group 1, Census Tract 301, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030100> block group:1",90,40,,,,,,,,,,641,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.9,-666666666.0,46.7
"Block Group 2, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:2",106,46,,,,,,,,,,1228,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 4, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:4",40,18,,,,,,,,,,884,32.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.8
"Block Group 1, Census Tract 303, Putnam County, Ohio: Summary level: 150, state:39> county:137> tract:030300> block group:1",150,49,,,,,,,,,,1356,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
