,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 30.01, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:003001> block group:1",95,41,,,,,,,,,,754,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 2, Census Tract 30.01, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:003001> block group:2",168,84,,,,,,,,,,1585,37.4,71.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 2, Census Tract 6, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:000600> block group:2",128,57,,,,,,,,,,1786,28.3,21.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,28.3
"Block Group 2, Census Tract 9, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:000900> block group:2",150,69,,,,,,,,,,1758,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.2,46.7
"Block Group 1, Census Tract 9, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:000900> block group:1",153,75,,,,,,,,,,1881,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,38.5
"Block Group 1, Census Tract 16, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:001600> block group:1",112,47,,,,,,,,,,760,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 4, Census Tract 19, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:001900> block group:4",81,20,,,,,,,,,,806,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.9,53.2
"Block Group 1, Census Tract 19, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:001900> block group:1",56,24,,,,,,,,,,1388,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 3, Census Tract 19, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:001900> block group:3",51,20,,,,,,,,,,782,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 3, Census Tract 8, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:000800> block group:3",57,29,,,,,,,,,,646,31.4,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.4
"Block Group 2, Census Tract 8, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:000800> block group:2",85,37,,,,,,,,,,1141,46.7,72.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.9,46.9
"Block Group 6, Census Tract 22, Richland County, Ohio: Summary level: 150, state:39> county:139> tract:002200> block group:6",93,33,,,,,,,,,,1337,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4,50.4
