,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9717, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:971700> block group:3",311,129,,,,,,,,,,1610,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 9716, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:971600> block group:1",162,71,,,,,,,,,,1579,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 2, Census Tract 9716, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:971600> block group:2",488,182,,,,,,,,,,1722,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 2, Census Tract 9720, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972000> block group:2",70,27,,,,,,,,,,810,26.4,14.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.3
"Block Group 1, Census Tract 9720, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972000> block group:1",65,32,,,,,,,,,,819,26.7,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,26.7
"Block Group 1, Census Tract 9722, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972200> block group:1",161,66,,,,,,,,,,1070,44.7,-666666666.0,18.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 3, Census Tract 9716, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:971600> block group:3",188,60,,,,,,,,,,1491,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0
"Block Group 4, Census Tract 9720, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972000> block group:4",89,43,,,,,,,,,,825,43.1,26.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.3,43.1
"Block Group 5, Census Tract 9720, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972000> block group:5",57,24,,,,,,,,,,741,35.2,61.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.3
"Block Group 5, Census Tract 9722, Shelby County, Ohio: Summary level: 150, state:39> county:149> tract:972200> block group:5",178,65,,,,,,,,,,1000,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.4,39.4
