,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 7143.02, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:714302> block group:2",110,58,,,,,,,,,,1363,44.7,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 1, Census Tract 7143.02, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:714302> block group:1",187,67,,,,,,,,,,1765,48.7,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.4,48.9
"Block Group 2, Census Tract 7121.02, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:712102> block group:2",138,57,,,,,,,,,,2100,42.5,49.2,-666666666.0,-666666666.0,-666666666.0,21.8,11.5,42.4
"Block Group 1, Census Tract 7104, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:710400> block group:1",124,72,,,,,,,,,,914,33.5,53.2,-666666666.0,-666666666.0,-666666666.0,13.4,10.1,35.4
"Block Group 1, Census Tract 7012, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701200> block group:1",80,35,,,,,,,,,,1047,38.4,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 2, Census Tract 7012, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701200> block group:2",48,24,,,,,,,,,,595,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.4,43.9
"Block Group 3, Census Tract 7012, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701200> block group:3",53,30,,,,,,,,,,703,39.0,23.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 2, Census Tract 7015, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701500> block group:2",68,24,,,,,,,,,,749,34.3,23.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 1, Census Tract 7015, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701500> block group:1",105,52,,,,,,,,,,985,47.9,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.3,47.9
"Block Group 1, Census Tract 7017, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:701700> block group:1",120,48,,,,,,,,,,1290,33.0,26.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.2,34.7
"Block Group 3, Census Tract 7106, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:710600> block group:3",121,58,,,,,,,,,,2339,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 3, Census Tract 7113.11, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:711311> block group:3",74,36,,,,,,,,,,1133,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 1, Census Tract 7113.11, Stark County, Ohio: Summary level: 150, state:39> county:151> tract:711311> block group:1",114,44,,,,,,,,,,1813,39.1,16.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,39.8
