,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 314, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031400> block group:2",46.0,22.0,,,,,,,,,,972,38.8,20.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 1, Census Tract 320.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032004> block group:1",421.0,138.0,,,,,,,,,,4068,41.4,29.7,-666666666.0,30.3,-666666666.0,-666666666.0,10.2,43.1
"Block Group 2, Census Tract 320.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032004> block group:2",198.0,74.0,,,,,,,,,,1958,41.9,44.2,-666666666.0,55.7,-666666666.0,34.3,-666666666.0,41.9
"Block Group 1, Census Tract 322.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032201> block group:1",59.0,22.0,,,,,,,,,,2639,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
"Block Group 3, Census Tract 322.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032201> block group:3",292.0,115.0,,,,,,,,,,5964,37.9,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.1,37.9
"Block Group 2, Census Tract 322.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032201> block group:2",106.0,42.0,,,,,,,,,,4459,31.8,35.0,-666666666.0,24.7,-666666666.0,-666666666.0,-666666666.0,31.8
"Block Group 4, Census Tract 322.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032201> block group:4",228.0,96.0,,,,,,,,,,6971,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 2, Census Tract 322.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032202> block group:2",156.0,71.0,,,,,,,,,,1656,48.8,26.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9,50.0
"Block Group 1, Census Tract 322.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032202> block group:1",204.0,60.0,,,,,,,,,,2830,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.9,-666666666.0,35.8
"Block Group 3, Census Tract 322.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032202> block group:3",75.0,26.0,,,,,,,,,,960,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 301.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030101> block group:3",194.0,71.0,,,,,,,,,,2216,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.6,41.3
"Block Group 1, Census Tract 301.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030101> block group:1",51.0,22.0,,,,,,,,,,631,56.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.6
"Block Group 2, Census Tract 301.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030101> block group:2",140.0,47.0,,,,,,,,,,1563,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 6, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:6",62.0,16.0,,,,,,,,,,1619,32.5,39.7,-666666666.0,15.8,-666666666.0,-666666666.0,-666666666.0,32.5
"Block Group 7, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:7",107.0,30.0,,,,,,,,,,3109,38.5,-666666666.0,-666666666.0,21.8,-666666666.0,-666666666.0,46.3,40.4
"Block Group 3, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:3",91.0,26.0,,,,,,,,,,2127,33.9,-666666666.0,-666666666.0,48.9,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 5, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:5",98.0,31.0,,,,,,,,,,2678,39.3,44.0,-666666666.0,14.9,-666666666.0,-666666666.0,25.4,40.0
"Block Group 4, Census Tract 319.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031904> block group:4",93.0,36.0,,,,,,,,,,1344,54.6,-666666666.0,-666666666.0,49.9,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 3, Census Tract 319.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031904> block group:3",112.0,49.0,,,,,,,,,,1657,45.4,32.2,-666666666.0,33.6,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 3, Census Tract 307, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030700> block group:3",54.0,21.0,,,,,,,,,,768,55.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.0
"Block Group 4, Census Tract 307, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030700> block group:4",115.0,52.0,,,,,,,,,,2247,46.3,16.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.0,49.3
"Block Group 2, Census Tract 307, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030700> block group:2",77.0,31.0,,,,,,,,,,1296,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 1, Census Tract 307, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030700> block group:1",143.0,50.0,,,,,,,,,,2660,37.2,-666666666.0,-666666666.0,51.3,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 1, Census Tract 320.07, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032007> block group:1",48.0,23.0,,,,,,,,,,896,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 2, Census Tract 319.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031902> block group:2",135.0,60.0,,,,,,,,,,2603,47.3,63.1,-666666666.0,40.8,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 2, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:2",41.0,18.0,,,,,,,,,,1107,55.6,57.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 1, Census Tract 319.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031903> block group:1",52.0,25.0,,,,,,,,,,1561,45.3,-666666666.0,-666666666.0,11.8,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 2, Census Tract 323, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032300> block group:2",224.0,89.0,,,,,,,,,,1135,34.6,-666666666.0,17.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 4, Census Tract 323, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032300> block group:4",184.0,65.0,,,,,,,,,,1480,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 1, Census Tract 323, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032300> block group:1",85.0,37.0,,,,,,,,,,838,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 323, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032300> block group:3",155.0,62.0,,,,,,,,,,1128,46.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 3, Census Tract 301.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030102> block group:3",102.0,45.0,,,,,,,,,,1240,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 2, Census Tract 301.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030102> block group:2",49.0,23.0,,,,,,,,,,479,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2
"Block Group 2, Census Tract 305.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030501> block group:2",197.0,82.0,,,,,,,,,,2210,41.9,46.3,-666666666.0,54.3,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 1, Census Tract 305.01, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030501> block group:1",106.0,51.0,,,,,,,,,,1666,35.1,-666666666.0,-666666666.0,19.8,-666666666.0,-666666666.0,24.6,35.1
"Block Group 2, Census Tract 312, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031200> block group:2",113.0,34.0,,,,,,,,,,1460,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4,52.4
"Block Group 1, Census Tract 312, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031200> block group:1",59.0,24.0,,,,,,,,,,1045,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 1, Census Tract 313, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031300> block group:1",380.0,140.0,,,,,,,,,,4058,36.5,-666666666.0,-666666666.0,22.0,-666666666.0,-666666666.0,15.0,36.5
"Block Group 1, Census Tract 302, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030200> block group:1",186.0,92.0,,,,,,,,,,1241,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9,48.8
"Block Group 2, Census Tract 320.06, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032006> block group:2",176.0,103.0,,,,,,,,,,2164,44.0,-666666666.0,-666666666.0,29.7,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 2, Census Tract 308, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030800> block group:2",149.0,53.0,,,,,,,,,,2547,40.3,75.2,-666666666.0,22.5,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 3, Census Tract 308, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030800> block group:3",54.0,20.0,,,,,,,,,,844,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.0
"Block Group 2, Census Tract 309, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030900> block group:2",41.0,12.0,,,,,,,,,,1053,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 320.03, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032003> block group:2",113.0,53.0,,,,,,,,,,1981,34.8,14.6,-666666666.0,29.7,-666666666.0,-666666666.0,-666666666.0,35.1
"Block Group 1, Census Tract 320.05, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032005> block group:1",219.0,84.0,,,,,,,,,,3550,45.5,25.2,-666666666.0,38.9,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 3, Census Tract 320.05, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032005> block group:3",216.0,79.0,,,,,,,,,,4409,33.5,26.8,-666666666.0,35.8,-666666666.0,4.0,12.3,33.2
"Block Group 3, Census Tract 320.07, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032007> block group:3",130.0,44.0,,,,,,,,,,1931,44.5,-666666666.0,-666666666.0,13.2,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 2, Census Tract 320.07, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032007> block group:2",69.0,26.0,,,,,,,,,,1262,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 4, Census Tract 320.07, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032007> block group:4",132.0,55.0,,,,,,,,,,2578,33.7,39.3,-666666666.0,31.8,-666666666.0,30.3,26.0,34.5
"Block Group 1, Census Tract 324, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032400> block group:1",165.0,63.0,,,,,,,,,,1705,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 3, Census Tract 324, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032400> block group:3",167.0,65.0,,,,,,,,,,1098,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 2, Census Tract 324, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032400> block group:2",252.0,90.0,,,,,,,,,,2093,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 3, Census Tract 319.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031902> block group:3",158.0,51.0,,,,,,,,,,2921,38.4,10.7,-666666666.0,42.0,-666666666.0,44.1,20.2,39.4
"Block Group 1, Census Tract 319.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:031902> block group:1",206.0,74.0,,,,,,,,,,3174,34.9,38.2,-666666666.0,19.6,-666666666.0,-666666666.0,-666666666.0,36.1
"Block Group 2, Census Tract 305.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030504> block group:2",228.0,62.0,,,,,,,,,,1729,39.0,-666666666.0,-666666666.0,39.4,-666666666.0,-666666666.0,12.8,39.3
"Block Group 1, Census Tract 321, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032100> block group:1",67.0,29.0,,,,,,,,,,1328,50.7,62.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 2, Census Tract 321, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:032100> block group:2",132.0,42.0,,,,,,,,,,2591,36.4,14.7,-666666666.0,45.9,-666666666.0,-666666666.0,13.1,36.6
"Block Group 3, Census Tract 305.04, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030504> block group:3",208.0,77.0,,,,,,,,,,2061,44.9,4.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.8,45.7
"Block Group 3, Census Tract 309, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030900> block group:3",118.0,43.0,,,,,,,,,,3098,38.9,13.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 1, Census Tract 301.02, Warren County, Ohio: Summary level: 150, state:39> county:165> tract:030102> block group:1",247.0,90.0,,,,,,,,,,2209,39.8,23.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.3,39.8
