,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9673, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967300> block group:4",105,71,,,,,,,,,,532,51.2,61.6,18.4,-666666666.0,-666666666.0,30.6,40.3,51.2
"Block Group 3, Census Tract 9673, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967300> block group:3",256,162,,,,,,,,,,774,52.0,38.5,31.6,-666666666.0,-666666666.0,36.3,26.3,52.1
"Block Group 1, Census Tract 9672, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967200> block group:1",81,40,,,,,,,,,,716,53.9,48.4,16.7,35.5,-666666666.0,12.5,39.0,53.9
"Block Group 2, Census Tract 9672, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967200> block group:2",108,47,,,,,,,,,,1045,33.2,8.9,22.9,-666666666.0,-666666666.0,-666666666.0,47.7,33.6
"Block Group 3, Census Tract 9672, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967200> block group:3",78,46,,,,,,,,,,817,63.3,22.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,63.3
"Block Group 3, Census Tract 9671, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967100> block group:3",88,55,,,,,,,,,,951,47.0,79.6,45.1,-666666666.0,-666666666.0,-666666666.0,3.8,47.0
"Block Group 1, Census Tract 9671, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967100> block group:1",107,61,,,,,,,,,,1165,39.7,20.8,56.1,-666666666.0,-666666666.0,-666666666.0,28.5,39.7
"Block Group 3, Census Tract 9670, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967000> block group:3",193,107,,,,,,,,,,1159,50.9,45.4,23.5,-666666666.0,-666666666.0,25.0,32.8,51.1
"Block Group 2, Census Tract 9673, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967300> block group:2",135,73,,,,,,,,,,735,44.9,-666666666.0,18.6,-666666666.0,-666666666.0,-666666666.0,51.5,44.8
"Block Group 1, Census Tract 9673, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967300> block group:1",343,198,,,,,,,,,,1023,50.8,-666666666.0,45.2,-666666666.0,6.5,-666666666.0,29.5,50.8
"Block Group 2, Census Tract 9669, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:966900> block group:2",312,190,,,,,,,,,,1278,44.5,18.5,46.6,-666666666.0,-666666666.0,34.2,24.1,45.8
"Block Group 4, Census Tract 9671, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967100> block group:4",64,44,,,,,,,,,,613,51.8,58.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,51.8
"Block Group 2, Census Tract 9671, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967100> block group:2",90,40,,,,,,,,,,858,49.9,31.6,-666666666.0,-666666666.0,-666666666.0,5.4,20.5,49.9
"Block Group 2, Census Tract 9670, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967000> block group:2",211,123,,,,,,,,,,921,48.6,62.4,38.2,-666666666.0,-666666666.0,49.8,59.5,48.6
"Block Group 1, Census Tract 9670, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:967000> block group:1",210,99,,,,,,,,,,1080,49.1,30.1,22.9,-666666666.0,-666666666.0,-666666666.0,29.8,49.2
"Block Group 3, Census Tract 9669, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:966900> block group:3",234,141,,,,,,,,,,732,52.0,58.5,26.0,-666666666.0,-666666666.0,52.6,24.3,51.5
"Block Group 1, Census Tract 9669, Choctaw County, Oklahoma: Summary level: 150, state:40> county:023> tract:966900> block group:1",301,170,,,,,,,,,,721,45.6,-666666666.0,33.3,-666666666.0,-666666666.0,45.4,30.3,45.6
