,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 12, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001200> block group:3",259,105,,,,,,,,,,1388,36.8,-666666666.0,50.5,-666666666.0,-666666666.0,-666666666.0,14.5,37.3
"Block Group 1, Census Tract 12, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001200> block group:1",170,77,,,,,,,,,,748,40.0,-666666666.0,9.8,-666666666.0,-666666666.0,32.9,34.5,42.3
"Block Group 4, Census Tract 12, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001200> block group:4",318,141,,,,,,,,,,1276,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.1,23.8,42.9
"Block Group 2, Census Tract 12, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001200> block group:2",138,62,,,,,,,,,,627,51.2,11.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 4, Census Tract 6, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000600> block group:4",38,15,,,,,,,,,,678,41.2,22.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 6, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:6",160,76,,,,,,,,,,804,46.7,-666666666.0,21.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 2, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:2",90,29,,,,,,,,,,1750,33.4,-666666666.0,17.0,-666666666.0,26.0,31.1,-666666666.0,36.9
"Block Group 2, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:2",38,17,,,,,,,,,,540,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 4, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:4",29,16,,,,,,,,,,568,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.0
"Block Group 1, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:1",50,25,,,,,,,,,,946,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6,-666666666.0,42.0
"Block Group 3, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:3",78,31,,,,,,,,,,1382,37.3,-666666666.0,42.3,42.3,17.5,-666666666.0,-666666666.0,39.1
"Block Group 5, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:5",83,26,,,,,,,,,,1555,32.5,16.3,11.8,-666666666.0,-666666666.0,28.4,86.1,32.5
"Block Group 6, Census Tract 1, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000100> block group:6",25,14,,,,,,,,,,578,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0
"Block Group 1, Census Tract 2, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000200> block group:1",151,60,,,,,,,,,,1073,37.2,-666666666.0,-666666666.0,-666666666.0,12.6,-666666666.0,29.1,37.2
"Block Group 2, Census Tract 14.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001401> block group:2",84,37,,,,,,,,,,994,31.8,2.9,-666666666.0,15.3,29.7,-666666666.0,22.8,31.6
"Block Group 3, Census Tract 14.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001401> block group:3",153,64,,,,,,,,,,1723,32.8,12.8,54.5,-666666666.0,-666666666.0,27.8,-666666666.0,32.8
"Block Group 2, Census Tract 14.02, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001402> block group:2",217,98,,,,,,,,,,2463,45.3,-666666666.0,50.8,-666666666.0,-666666666.0,12.5,4.6,44.9
"Block Group 3, Census Tract 16.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001601> block group:3",66,33,,,,,,,,,,1231,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 16.02, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001602> block group:1",271,104,,,,,,,,,,3038,34.4,-666666666.0,12.7,-666666666.0,-666666666.0,-666666666.0,21.3,34.5
"Block Group 1, Census Tract 14.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001401> block group:1",66,28,,,,,,,,,,867,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.8,21.3,44.3
"Block Group 2, Census Tract 2, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000200> block group:2",408,153,,,,,,,,,,1594,43.9,-666666666.0,42.4,31.3,21.0,35.3,12.7,44.5
"Block Group 1, Census Tract 6, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000600> block group:1",101,50,,,,,,,,,,2340,44.1,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.6,44.3
"Block Group 2, Census Tract 6, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000600> block group:2",52,28,,,,,,,,,,1223,28.5,28.7,-666666666.0,-666666666.0,-666666666.0,26.3,13.5,28.5
"Block Group 2, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:2",64,23,,,,,,,,,,1269,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 4, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:4",20,12,,,,,,,,,,322,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.6
"Block Group 5, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:5",62,25,,,,,,,,,,1187,33.6,43.9,-666666666.0,-666666666.0,9.9,51.3,-666666666.0,37.8
"Block Group 1, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:1",82,34,,,,,,,,,,1900,34.5,-666666666.0,25.7,-666666666.0,15.1,12.9,-666666666.0,46.0
"Block Group 6, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:6",36,16,,,,,,,,,,677,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,37.1
"Block Group 3, Census Tract 7, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000700> block group:3",23,12,,,,,,,,,,744,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1,-666666666.0,45.2
"Block Group 2, Census Tract 16.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001601> block group:2",326,141,,,,,,,,,,1572,36.7,-666666666.0,9.0,-666666666.0,-666666666.0,-666666666.0,10.5,37.7
"Block Group 3, Census Tract 6, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:000600> block group:3",292,80,,,,,,,,,,2402,40.5,17.0,36.6,-666666666.0,-666666666.0,11.8,24.3,41.7
"Block Group 1, Census Tract 14.02, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001402> block group:1",164,82,,,,,,,,,,1815,56.8,54.9,-666666666.0,23.8,-666666666.0,-666666666.0,20.8,58.1
"Block Group 1, Census Tract 16.01, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001601> block group:1",183,69,,,,,,,,,,3015,35.0,-666666666.0,34.6,-666666666.0,-666666666.0,17.7,42.7,35.2
"Block Group 2, Census Tract 16.02, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001602> block group:2",273,86,,,,,,,,,,1699,25.9,20.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,26.0
"Block Group 1, Census Tract 13, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001300> block group:1",198,77,,,,,,,,,,3337,39.8,58.9,18.6,-666666666.0,-666666666.0,26.5,-666666666.0,42.0
"Block Group 4, Census Tract 13, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001300> block group:4",93,40,,,,,,,,,,1512,50.5,58.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 2, Census Tract 11, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001100> block group:2",211,82,,,,,,,,,,1125,42.6,-666666666.0,60.3,-666666666.0,-666666666.0,-666666666.0,38.3,42.6
"Block Group 1, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:1",165,84,,,,,,,,,,549,49.9,-666666666.0,18.0,-666666666.0,-666666666.0,-666666666.0,47.5,49.9
"Block Group 5, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:5",156,31,,,,,,,,,,2164,28.4,27.7,36.8,-666666666.0,21.4,11.6,21.2,28.2
"Block Group 3, Census Tract 13, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001300> block group:3",106,49,,,,,,,,,,1798,63.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.0,63.4
"Block Group 2, Census Tract 13, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001300> block group:2",102,46,,,,,,,,,,1508,57.7,-666666666.0,-666666666.0,56.0,-666666666.0,-666666666.0,-666666666.0,58.7
"Block Group 1, Census Tract 11, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001100> block group:1",241,109,,,,,,,,,,823,50.1,-666666666.0,41.2,-666666666.0,-666666666.0,-666666666.0,12.0,50.2
"Block Group 3, Census Tract 11, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001100> block group:3",227,100,,,,,,,,,,705,46.4,-666666666.0,39.2,-666666666.0,-666666666.0,28.1,11.8,46.6
"Block Group 4, Census Tract 11, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001100> block group:4",181,93,,,,,,,,,,696,44.4,-666666666.0,55.1,-666666666.0,-666666666.0,-666666666.0,31.5,44.4
"Block Group 3, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:3",56,21,,,,,,,,,,1116,35.7,44.3,-666666666.0,-666666666.0,-666666666.0,33.3,-666666666.0,48.3
"Block Group 4, Census Tract 15, Garfield County, Oklahoma: Summary level: 150, state:40> county:047> tract:001500> block group:4",43,16,,,,,,,,,,871,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
