,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 6813, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681300> block group:1",48,40,,,,,,,,,,421,43.8,38.5,48.2,-666666666.0,-666666666.0,-666666666.0,17.3,43.5
"Block Group 3, Census Tract 6811, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681100> block group:3",250,132,,,,,,,,,,825,37.4,-666666666.0,18.5,-666666666.0,-666666666.0,36.5,22.6,38.5
"Block Group 2, Census Tract 6816, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681600> block group:2",297,141,,,,,,,,,,1308,45.9,-666666666.0,38.3,-666666666.0,-666666666.0,-666666666.0,31.3,45.9
"Block Group 1, Census Tract 6815, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681500> block group:1",243,127,,,,,,,,,,1354,42.2,55.6,52.2,-666666666.0,-666666666.0,36.9,26.9,42.3
"Block Group 2, Census Tract 6815, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681500> block group:2",201,106,,,,,,,,,,1119,46.5,57.1,28.2,-666666666.0,-666666666.0,-666666666.0,25.8,46.5
"Block Group 1, Census Tract 6814, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681400> block group:1",200,83,,,,,,,,,,1956,37.5,59.6,16.8,-666666666.0,-666666666.0,1.2,42.1,37.4
"Block Group 1, Census Tract 6812, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681200> block group:1",248,124,,,,,,,,,,1724,40.6,-666666666.0,27.5,-666666666.0,-666666666.0,53.8,36.6,42.4
"Block Group 2, Census Tract 6812, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681200> block group:2",248,122,,,,,,,,,,622,40.6,-666666666.0,26.5,-666666666.0,-666666666.0,27.4,21.4,41.1
"Block Group 2, Census Tract 6811, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681100> block group:2",229,101,,,,,,,,,,788,45.1,-666666666.0,31.3,-666666666.0,-666666666.0,-666666666.0,16.8,45.6
"Block Group 1, Census Tract 6811, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681100> block group:1",168,79,,,,,,,,,,1497,43.2,-666666666.0,53.2,-666666666.0,-666666666.0,-666666666.0,21.4,43.2
"Block Group 1, Census Tract 6816, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681600> block group:1",240,120,,,,,,,,,,855,32.6,-666666666.0,66.5,-666666666.0,-666666666.0,-666666666.0,19.8,34.6
"Block Group 4, Census Tract 6814, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681400> block group:4",117,54,,,,,,,,,,1572,41.0,-666666666.0,38.3,-666666666.0,-666666666.0,-666666666.0,27.3,42.4
"Block Group 2, Census Tract 6814, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681400> block group:2",126,79,,,,,,,,,,924,41.2,-666666666.0,21.5,-666666666.0,-666666666.0,23.5,7.2,42.0
"Block Group 3, Census Tract 6814, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681400> block group:3",61,17,,,,,,,,,,623,34.7,-666666666.0,40.5,-666666666.0,-666666666.0,-666666666.0,3.6,41.1
"Block Group 4, Census Tract 6818, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681800> block group:4",80,41,,,,,,,,,,775,40.3,-666666666.0,42.6,-666666666.0,-666666666.0,-666666666.0,16.6,40.3
"Block Group 2, Census Tract 6818, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681800> block group:2",112,45,,,,,,,,,,836,39.3,-666666666.0,18.0,-666666666.0,-666666666.0,-666666666.0,21.4,39.3
"Block Group 3, Census Tract 6818, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681800> block group:3",70,31,,,,,,,,,,506,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,10.8,51.1
"Block Group 1, Census Tract 6818, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681800> block group:1",91,54,,,,,,,,,,882,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 3, Census Tract 6819, Garvin County, Oklahoma: Summary level: 150, state:40> county:049> tract:681900> block group:3",367,179,,,,,,,,,,1094,40.5,-666666666.0,15.9,-666666666.0,-666666666.0,-666666666.0,24.8,41.5
