,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9.03, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000903> block group:2",282,102,,,,,,,,,,3269,38.0,26.4,14.8,-666666666.0,-666666666.0,-666666666.0,7.5,38.4
"Block Group 3, Census Tract 9.03, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000903> block group:3",293,122,,,,,,,,,,2996,42.5,13.4,32.8,-666666666.0,-666666666.0,-666666666.0,27.4,43.1
"Block Group 2, Census Tract 10, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:001000> block group:2",81,32,,,,,,,,,,799,28.8,3.9,-666666666.0,-666666666.0,-666666666.0,15.2,-666666666.0,28.7
"Block Group 4, Census Tract 10, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:001000> block group:4",119,66,,,,,,,,,,1208,41.8,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.2,42.1
"Block Group 4, Census Tract 9.03, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000903> block group:4",87,35,,,,,,,,,,1136,47.4,-666666666.0,11.2,-666666666.0,-666666666.0,-666666666.0,40.2,48.1
"Block Group 1, Census Tract 5, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000500> block group:1",117,59,,,,,,,,,,1839,34.5,63.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.7,32.9
"Block Group 4, Census Tract 5, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000500> block group:4",140,66,,,,,,,,,,1697,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.1,43.6
"Block Group 3, Census Tract 6, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000600> block group:3",430,173,,,,,,,,,,1798,42.9,43.3,31.7,-666666666.0,-666666666.0,-666666666.0,13.5,43.9
"Block Group 1, Census Tract 6, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000600> block group:1",96,37,,,,,,,,,,1191,52.2,47.5,42.7,-666666666.0,-666666666.0,-666666666.0,42.7,52.4
"Block Group 3, Census Tract 9.02, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000902> block group:3",155,57,,,,,,,,,,2217,34.0,-666666666.0,15.6,-666666666.0,-666666666.0,-666666666.0,23.3,34.0
"Block Group 1, Census Tract 1, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:000100> block group:1",199,118,,,,,,,,,,1231,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,35.5
"Block Group 1, Census Tract 10, Grady County, Oklahoma: Summary level: 150, state:40> county:051> tract:001000> block group:1",124,43,,,,,,,,,,1019,41.8,46.1,29.9,-666666666.0,-666666666.0,39.7,68.5,43.5
