,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 4850, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:485000> block group:1",299,193,,,,,,,,,,877,46.0,-666666666.0,21.2,-666666666.0,-666666666.0,-666666666.0,10.5,47.1
"Block Group 2, Census Tract 4850, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:485000> block group:2",204,111,,,,,,,,,,660,45.9,-666666666.0,18.8,-666666666.0,-666666666.0,-666666666.0,15.5,47.9
"Block Group 3, Census Tract 4850, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:485000> block group:3",284,174,,,,,,,,,,798,47.8,-666666666.0,34.4,-666666666.0,-666666666.0,7.4,26.2,48.5
"Block Group 2, Census Tract 4849, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484900> block group:2",99,52,,,,,,,,,,983,41.5,24.8,52.8,-666666666.0,-666666666.0,-666666666.0,10.2,42.7
"Block Group 3, Census Tract 4849, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484900> block group:3",71,46,,,,,,,,,,652,52.9,23.6,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 1, Census Tract 4848, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484800> block group:1",387,63,,,,,,,,,,2172,38.4,32.0,35.8,-666666666.0,-666666666.0,26.8,36.2,39.0
"Block Group 2, Census Tract 4846, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484600> block group:2",334,184,,,,,,,,,,1397,41.3,33.5,25.0,-666666666.0,-666666666.0,-666666666.0,33.5,41.2
"Block Group 1, Census Tract 4849, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484900> block group:1",74,46,,,,,,,,,,621,51.4,-666666666.0,26.0,-666666666.0,-666666666.0,-666666666.0,66.3,52.0
"Block Group 2, Census Tract 4848, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484800> block group:2",161,91,,,,,,,,,,1099,36.6,26.5,21.3,-666666666.0,-666666666.0,-666666666.0,10.3,38.7
"Block Group 3, Census Tract 4848, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484800> block group:3",110,65,,,,,,,,,,678,55.3,-666666666.0,33.0,-666666666.0,-666666666.0,-666666666.0,15.1,55.3
"Block Group 2, Census Tract 4847, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484700> block group:2",248,142,,,,,,,,,,784,55.8,-666666666.0,42.0,-666666666.0,-666666666.0,-666666666.0,12.8,55.8
"Block Group 1, Census Tract 4847, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484700> block group:1",421,230,,,,,,,,,,1687,43.3,52.5,48.6,-666666666.0,-666666666.0,32.8,16.8,44.6
"Block Group 1, Census Tract 4846, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484600> block group:1",166,87,,,,,,,,,,596,57.4,49.5,27.7,-666666666.0,-666666666.0,-666666666.0,56.3,57.4
"Block Group 3, Census Tract 4846, Hughes County, Oklahoma: Summary level: 150, state:40> county:063> tract:484600> block group:3",295,189,,,,,,,,,,781,45.6,-666666666.0,29.2,-666666666.0,-666666666.0,-666666666.0,39.5,49.2
