,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 9686, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968600> block group:5",50,23,,,,,,,,,,601,28.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.1,-666666666.0,28.1
"Block Group 1, Census Tract 9684, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968400> block group:1",105,41,,,,,,,,,,1706,49.4,26.1,-666666666.0,59.1,-666666666.0,40.2,5.6,49.5
"Block Group 3, Census Tract 9685, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968500> block group:3",142,42,,,,,,,,,,1814,22.5,22.5,-666666666.0,38.2,-666666666.0,38.3,0.0,22.3
"Block Group 3, Census Tract 9684, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968400> block group:3",45,21,,,,,,,,,,1222,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,45.9
"Block Group 1, Census Tract 9682, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968200> block group:1",229,108,,,,,,,,,,906,40.6,-666666666.0,-666666666.0,68.5,-666666666.0,11.9,11.9,44.4
"Block Group 2, Census Tract 9683, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968300> block group:2",336,183,,,,,,,,,,905,52.1,17.8,23.4,-666666666.0,-666666666.0,47.2,15.0,52.4
"Block Group 2, Census Tract 9685, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968500> block group:2",154,61,,,,,,,,,,1819,44.6,22.8,54.9,-666666666.0,-666666666.0,-666666666.0,27.7,44.4
"Block Group 3, Census Tract 9688, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968800> block group:3",87,38,,,,,,,,,,933,29.0,81.0,-666666666.0,-666666666.0,-666666666.0,39.6,15.3,29.1
"Block Group 2, Census Tract 9684, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968400> block group:2",53,26,,,,,,,,,,1238,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6
"Block Group 1, Census Tract 9686, Jackson County, Oklahoma: Summary level: 150, state:40> county:065> tract:968600> block group:1",102,31,,,,,,,,,,1011,31.8,24.5,11.4,-666666666.0,-666666666.0,37.1,41.6,35.5
