,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 403.02, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040302> block group:2",414,182,,,,,,,,,,1767,46.4,-666666666.0,14.9,-666666666.0,-666666666.0,-666666666.0,39.5,47.0
"Block Group 1, Census Tract 403.02, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040302> block group:1",556,253,,,,,,,,,,2195,40.1,-666666666.0,16.5,-666666666.0,-666666666.0,-666666666.0,32.6,40.2
"Block Group 4, Census Tract 405, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040500> block group:4",297,137,,,,,,,,,,1022,43.6,-666666666.0,42.2,-666666666.0,-666666666.0,-666666666.0,20.8,43.9
"Block Group 1, Census Tract 401.02, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040102> block group:1",94,50,,,,,,,,,,995,43.6,43.0,52.7,-666666666.0,-666666666.0,-666666666.0,18.7,43.6
"Block Group 4, Census Tract 403.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040301> block group:4",322,138,,,,,,,,,,1702,43.4,-666666666.0,33.6,-666666666.0,-666666666.0,-666666666.0,20.5,43.4
"Block Group 1, Census Tract 403.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040301> block group:1",455,220,,,,,,,,,,1279,38.2,55.4,18.0,-666666666.0,-666666666.0,-666666666.0,20.8,38.9
"Block Group 2, Census Tract 403.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040301> block group:2",342,184,,,,,,,,,,1819,45.3,0.0,28.3,60.1,-666666666.0,46.3,26.1,45.4
"Block Group 1, Census Tract 401.98, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040198> block group:1",192,102,,,,,,,,,,1051,38.9,-666666666.0,24.6,-666666666.0,-666666666.0,-666666666.0,52.8,39.4
"Block Group 3, Census Tract 406.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040601> block group:3",351,162,,,,,,,,,,2102,34.1,-666666666.0,26.8,-666666666.0,-666666666.0,30.2,22.1,38.1
"Block Group 1, Census Tract 406.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040601> block group:1",192,79,,,,,,,,,,998,50.1,-666666666.0,20.9,-666666666.0,-666666666.0,-666666666.0,26.9,50.0
"Block Group 1, Census Tract 404.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040401> block group:1",111,51,,,,,,,,,,1587,37.8,-666666666.0,57.0,-666666666.0,-666666666.0,42.2,44.2,38.3
"Block Group 2, Census Tract 404.01, Le Flore County, Oklahoma: Summary level: 150, state:40> county:079> tract:040401> block group:2",139,65,,,,,,,,,,2006,44.1,27.8,34.6,-666666666.0,-666666666.0,21.6,9.0,46.4
