,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 948.01, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094801> block group:1",75,51,,,,,,,,,,699,56.5,-666666666.0,53.3,-666666666.0,-666666666.0,-666666666.0,66.1,56.5
"Block Group 3, Census Tract 948.02, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094802> block group:3",179,115,,,,,,,,,,1018,47.8,-666666666.0,16.8,-666666666.0,-666666666.0,-666666666.0,23.7,47.8
"Block Group 3, Census Tract 946.98, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094698> block group:3",151,99,,,,,,,,,,1316,45.9,-666666666.0,44.8,-666666666.0,-666666666.0,45.6,38.8,47.7
"Block Group 1, Census Tract 946.98, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094698> block group:1",151,88,,,,,,,,,,1181,39.0,-666666666.0,17.5,-666666666.0,-666666666.0,-666666666.0,30.5,42.8
"Block Group 1, Census Tract 947, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094700> block group:1",133,57,,,,,,,,,,1480,39.5,18.8,34.1,-666666666.0,-666666666.0,34.2,26.9,50.7
"Block Group 2, Census Tract 947, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094700> block group:2",239,105,,,,,,,,,,2258,46.0,24.7,25.8,-666666666.0,-666666666.0,26.3,14.0,53.8
"Block Group 2, Census Tract 948.02, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094802> block group:2",186,197,,,,,,,,,,1864,56.5,-666666666.0,25.5,-666666666.0,-666666666.0,-666666666.0,19.5,57.2
"Block Group 3, Census Tract 947, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094700> block group:3",416,166,,,,,,,,,,1202,41.0,48.7,42.2,-666666666.0,-666666666.0,24.9,20.9,45.8
"Block Group 2, Census Tract 948.01, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094801> block group:2",356,310,,,,,,,,,,2824,51.9,12.3,16.5,-666666666.0,-666666666.0,49.1,46.5,52.3
"Block Group 1, Census Tract 948.02, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094802> block group:1",283,126,,,,,,,,,,1127,44.4,-666666666.0,35.3,-666666666.0,-666666666.0,35.5,14.8,44.7
"Block Group 2, Census Tract 946.98, Marshall County, Oklahoma: Summary level: 150, state:40> county:095> tract:094698> block group:2",125,58,,,,,,,,,,1045,50.5,-666666666.0,36.8,-666666666.0,-666666666.0,-666666666.0,36.7,50.5
