,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 404, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040400> block group:1",152,56,,,,,,,,,,2319,33.7,-666666666.0,49.0,-666666666.0,-666666666.0,-666666666.0,20.6,33.3
"Block Group 2, Census Tract 404, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040400> block group:2",508,224,,,,,,,,,,2044,44.0,-666666666.0,20.3,64.3,-666666666.0,-666666666.0,25.3,44.0
"Block Group 4, Census Tract 404, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040400> block group:4",50,24,,,,,,,,,,907,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.6,53.1
"Block Group 4, Census Tract 408, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040800> block group:4",165,69,,,,,,,,,,2311,48.8,-666666666.0,38.5,-666666666.0,-666666666.0,-666666666.0,27.0,48.8
"Block Group 1, Census Tract 408, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040800> block group:1",126,48,,,,,,,,,,1599,46.5,-666666666.0,21.0,39.2,-666666666.0,-666666666.0,13.7,46.4
"Block Group 2, Census Tract 403, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040300> block group:2",484,184,,,,,,,,,,2092,45.0,-666666666.0,47.4,65.5,-666666666.0,-666666666.0,20.0,45.2
"Block Group 2, Census Tract 406, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040600> block group:2",200,91,,,,,,,,,,1264,56.3,-666666666.0,48.8,-666666666.0,-666666666.0,-666666666.0,23.7,56.4
"Block Group 3, Census Tract 406, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040600> block group:3",328,179,,,,,,,,,,1308,53.4,-666666666.0,33.6,73.0,-666666666.0,-666666666.0,23.7,53.6
"Block Group 2, Census Tract 401, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040100> block group:2",90,47,,,,,,,,,,1023,41.1,-666666666.0,12.9,-666666666.0,-666666666.0,-666666666.0,31.9,43.7
"Block Group 3, Census Tract 405.01, Mayes County, Oklahoma: Summary level: 150, state:40> county:097> tract:040501> block group:3",63,32,,,,,,,,,,515,45.8,-666666666.0,39.8,9.8,-666666666.0,-666666666.0,37.3,45.8
