,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:2",68,32,,,,,,,,,,1061,47.9,-666666666.0,20.6,-666666666.0,-666666666.0,-666666666.0,19.3,47.9
"Block Group 5, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:5",67,45,,,,,,,,,,1006,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8,53.5
"Block Group 1, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:1",100,43,,,,,,,,,,1594,38.0,26.7,43.1,-666666666.0,-666666666.0,-666666666.0,24.9,35.2
"Block Group 5, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:5",172,79,,,,,,,,,,846,50.0,-666666666.0,52.5,-666666666.0,-666666666.0,-666666666.0,13.4,50.0
"Block Group 2, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:2",207,89,,,,,,,,,,998,45.7,-666666666.0,49.0,-666666666.0,-666666666.0,-666666666.0,18.7,45.7
"Block Group 3, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:3",181,79,,,,,,,,,,856,42.4,47.6,17.2,-666666666.0,-666666666.0,30.9,16.8,49.2
"Block Group 4, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:4",62,21,,,,,,,,,,706,29.5,28.3,16.0,-666666666.0,-666666666.0,-666666666.0,42.6,29.5
"Block Group 6, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:6",76,22,,,,,,,,,,883,50.4,-666666666.0,20.2,-666666666.0,-666666666.0,-666666666.0,57.4,50.4
"Block Group 1, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:1",120,53,,,,,,,,,,1051,41.8,-666666666.0,42.3,-666666666.0,-666666666.0,-666666666.0,35.3,44.1
"Block Group 4, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:4",134,61,,,,,,,,,,792,42.3,40.6,33.8,16.6,-666666666.0,-666666666.0,18.1,42.4
"Block Group 1, Census Tract 7906, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790600> block group:1",189,93,,,,,,,,,,1172,49.2,28.1,53.9,-666666666.0,-666666666.0,-666666666.0,20.1,49.2
"Block Group 6, Census Tract 7907, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790700> block group:6",46,44,,,,,,,,,,805,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 2, Census Tract 7906, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790600> block group:2",230,99,,,,,,,,,,1138,39.3,-666666666.0,40.2,-666666666.0,-666666666.0,-666666666.0,31.4,39.2
"Block Group 3, Census Tract 7908, Murray County, Oklahoma: Summary level: 150, state:40> county:099> tract:790800> block group:3",62,33,,,,,,,,,,825,49.5,17.6,23.6,-666666666.0,-666666666.0,20.2,32.3,49.5
