,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 1721, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172100> block group:2",357,191,,,,,,,,,,1050,39.8,23.5,34.9,-666666666.0,-666666666.0,-666666666.0,43.0,41.2
"Block Group 4, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:4",151,59,,,,,,,,,,1288,52.8,-666666666.0,33.6,-666666666.0,-666666666.0,27.4,20.8,52.8
"Block Group 2, Census Tract 1723, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172300> block group:2",164,80,,,,,,,,,,707,48.8,-666666666.0,23.5,-666666666.0,-666666666.0,33.1,54.5,50.4
"Block Group 1, Census Tract 1722, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172200> block group:1",318,149,,,,,,,,,,1008,41.8,59.2,28.3,-666666666.0,-666666666.0,-666666666.0,48.6,43.0
"Block Group 6, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:6",69,35,,,,,,,,,,467,60.0,61.5,36.7,-666666666.0,-666666666.0,-666666666.0,56.8,60.2
"Block Group 5, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:5",75,34,,,,,,,,,,574,54.1,54.8,22.7,-666666666.0,22.6,-666666666.0,11.6,54.1
"Block Group 2, Census Tract 1722, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172200> block group:2",269,148,,,,,,,,,,581,50.7,-666666666.0,30.3,-666666666.0,-666666666.0,-666666666.0,19.8,50.7
"Block Group 1, Census Tract 1723, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172300> block group:1",229,104,,,,,,,,,,1334,53.2,-666666666.0,37.2,-666666666.0,-666666666.0,-666666666.0,29.3,55.1
"Block Group 3, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:3",79,39,,,,,,,,,,871,35.0,47.2,22.5,-666666666.0,-666666666.0,-666666666.0,8.8,35.0
"Block Group 2, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:2",76,38,,,,,,,,,,666,36.5,-666666666.0,60.4,15.7,-666666666.0,-666666666.0,17.6,36.5
"Block Group 1, Census Tract 1721, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172100> block group:1",353,151,,,,,,,,,,1321,44.8,-666666666.0,30.3,-666666666.0,-666666666.0,-666666666.0,41.9,45.1
"Block Group 1, Census Tract 1724, Nowata County, Oklahoma: Summary level: 150, state:40> county:105> tract:172400> block group:1",68,40,,,,,,,,,,688,46.3,-666666666.0,44.9,-666666666.0,-666666666.0,-666666666.0,5.9,46.3
