,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 4859, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485900> block group:2",325,159,,,,,,,,,,1224,42.4,-666666666.0,26.5,-666666666.0,-666666666.0,-666666666.0,44.5,42.3
"Block Group 1, Census Tract 4859, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485900> block group:1",286,141,,,,,,,,,,956,48.5,33.2,26.6,-666666666.0,-666666666.0,-666666666.0,50.2,48.7
"Block Group 4, Census Tract 4865, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486500> block group:4",184,74,,,,,,,,,,1753,42.7,-666666666.0,33.1,35.1,-666666666.0,-666666666.0,5.7,42.7
"Block Group 1, Census Tract 4864, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486400> block group:1",100,56,,,,,,,,,,936,39.4,31.3,38.6,-666666666.0,-666666666.0,23.7,34.1,39.3
"Block Group 1, Census Tract 4863, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486300> block group:1",308,4,,,,,,,,,,1461,37.1,34.8,35.0,-666666666.0,-666666666.0,30.8,35.4,37.3
"Block Group 3, Census Tract 4862, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486200> block group:3",77,42,,,,,,,,,,585,46.1,-666666666.0,59.1,-666666666.0,-666666666.0,4.7,21.8,46.0
"Block Group 4, Census Tract 4862, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486200> block group:4",124,46,,,,,,,,,,1107,33.3,-666666666.0,21.9,-666666666.0,-666666666.0,28.6,21.3,33.7
"Block Group 5, Census Tract 4861, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486100> block group:5",75,47,,,,,,,,,,1020,45.7,-666666666.0,19.5,-666666666.0,-666666666.0,14.1,23.8,46.3
"Block Group 2, Census Tract 4861, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486100> block group:2",51,28,,,,,,,,,,769,45.3,-666666666.0,15.8,-666666666.0,-666666666.0,-666666666.0,33.4,45.3
"Block Group 1, Census Tract 4861, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486100> block group:1",72,38,,,,,,,,,,972,43.5,40.8,19.3,-666666666.0,-666666666.0,-666666666.0,13.3,47.4
"Block Group 1, Census Tract 4860, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486000> block group:1",239,106,,,,,,,,,,2152,48.3,12.9,39.8,-666666666.0,-666666666.0,-666666666.0,38.8,48.4
"Block Group 4, Census Tract 4860, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486000> block group:4",147,70,,,,,,,,,,761,47.2,-666666666.0,42.2,-666666666.0,-666666666.0,29.0,22.8,46.8
"Block Group 2, Census Tract 4860, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486000> block group:2",271,131,,,,,,,,,,992,50.7,-666666666.0,27.3,-666666666.0,-666666666.0,-666666666.0,23.0,50.7
"Block Group 3, Census Tract 4860, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486000> block group:3",222,109,,,,,,,,,,1244,31.9,-666666666.0,33.4,68.3,-666666666.0,-666666666.0,20.9,32.4
"Block Group 1, Census Tract 4868, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486800> block group:1",351,171,,,,,,,,,,753,44.4,-666666666.0,25.5,-666666666.0,-666666666.0,49.5,31.8,43.8
"Block Group 4, Census Tract 4867, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486700> block group:4",210,107,,,,,,,,,,1117,40.9,65.4,43.3,-666666666.0,-666666666.0,-666666666.0,24.6,40.7
"Block Group 2, Census Tract 4867, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486700> block group:2",138,84,,,,,,,,,,696,46.1,-666666666.0,32.8,-666666666.0,-666666666.0,-666666666.0,22.0,46.0
"Block Group 2, Census Tract 4858, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485800> block group:2",213,117,,,,,,,,,,586,50.4,-666666666.0,40.8,-666666666.0,-666666666.0,-666666666.0,51.3,50.5
"Block Group 1, Census Tract 4858, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485800> block group:1",363,172,,,,,,,,,,986,54.7,-666666666.0,39.5,-666666666.0,-666666666.0,20.6,21.5,54.7
"Block Group 1, Census Tract 4866, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486600> block group:1",176,76,,,,,,,,,,610,40.9,29.1,36.3,-666666666.0,-666666666.0,-666666666.0,51.3,40.9
"Block Group 3, Census Tract 4866, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486600> block group:3",282,131,,,,,,,,,,731,45.3,-666666666.0,19.5,22.8,-666666666.0,-666666666.0,40.3,44.0
"Block Group 6, Census Tract 4865, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486500> block group:6",38,20,,,,,,,,,,559,42.9,-666666666.0,-666666666.0,19.6,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 2, Census Tract 4865, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486500> block group:2",77,29,,,,,,,,,,1018,38.0,-666666666.0,40.2,-666666666.0,-666666666.0,-666666666.0,43.3,39.0
"Block Group 3, Census Tract 4867, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486700> block group:3",194,80,,,,,,,,,,1058,41.9,31.3,32.0,-666666666.0,-666666666.0,-666666666.0,22.2,42.5
"Block Group 1, Census Tract 4867, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486700> block group:1",268,127,,,,,,,,,,1376,54.0,-666666666.0,36.9,-666666666.0,-666666666.0,-666666666.0,20.5,54.9
"Block Group 2, Census Tract 4857, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485700> block group:2",272,141,,,,,,,,,,1010,40.8,57.2,27.9,-666666666.0,-666666666.0,15.6,34.5,41.4
"Block Group 1, Census Tract 4857, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485700> block group:1",193,104,,,,,,,,,,1228,42.1,-666666666.0,22.2,-666666666.0,-666666666.0,-666666666.0,47.6,42.2
"Block Group 1, Census Tract 4856, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485600> block group:1",303,309,,,,,,,,,,2852,57.7,-666666666.0,62.3,-666666666.0,-666666666.0,-666666666.0,39.8,57.7
"Block Group 3, Census Tract 4864, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486400> block group:3",106,43,,,,,,,,,,865,29.6,-666666666.0,17.5,-666666666.0,-666666666.0,26.9,12.8,29.6
"Block Group 4, Census Tract 4861, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486100> block group:4",47,26,,,,,,,,,,601,54.2,23.5,55.6,-666666666.0,-666666666.0,-666666666.0,37.6,54.2
"Block Group 3, Census Tract 4858, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485800> block group:3",353,162,,,,,,,,,,1233,39.9,-666666666.0,40.6,-666666666.0,-666666666.0,6.5,25.4,40.3
"Block Group 4, Census Tract 4858, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:485800> block group:4",303,180,,,,,,,,,,1750,57.2,-666666666.0,64.2,-666666666.0,-666666666.0,-666666666.0,24.2,57.7
"Block Group 2, Census Tract 4866, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486600> block group:2",407,183,,,,,,,,,,1678,50.2,54.1,41.8,15.8,-666666666.0,19.5,17.8,49.7
"Block Group 1, Census Tract 4865, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486500> block group:1",39,24,,,,,,,,,,555,47.6,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,47.6
"Block Group 2, Census Tract 4868, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486800> block group:2",427,227,,,,,,,,,,1145,43.8,-666666666.0,32.8,-666666666.0,-666666666.0,-666666666.0,51.5,43.4
"Block Group 5, Census Tract 4867, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486700> block group:5",225,116,,,,,,,,,,543,45.1,27.3,24.2,-666666666.0,-666666666.0,-666666666.0,21.5,46.7
"Block Group 1, Census Tract 4862, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486200> block group:1",91,47,,,,,,,,,,830,33.8,-666666666.0,18.5,50.6,-666666666.0,34.6,17.8,34.7
"Block Group 2, Census Tract 4864, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486400> block group:2",77,50,,,,,,,,,,752,31.7,-666666666.0,15.9,-666666666.0,-666666666.0,-666666666.0,36.6,31.5
"Block Group 2, Census Tract 4862, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486200> block group:2",170,55,,,,,,,,,,1405,46.4,21.4,49.1,-666666666.0,-666666666.0,-666666666.0,32.1,46.3
"Block Group 3, Census Tract 4861, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486100> block group:3",70,36,,,,,,,,,,1071,39.1,70.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.0,39.1
"Block Group 5, Census Tract 4865, Pittsburg County, Oklahoma: Summary level: 150, state:40> county:121> tract:486500> block group:5",79,36,,,,,,,,,,1231,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8,45.9
