,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 886, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088600> block group:1",260,103,,,,,,,,,,1839,43.5,35.2,29.8,-666666666.0,-666666666.0,-666666666.0,38.3,43.6
"Block Group 4, Census Tract 886, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088600> block group:4",317,161,,,,,,,,,,791,47.1,-666666666.0,34.5,31.1,-666666666.0,-666666666.0,27.9,48.6
"Block Group 3, Census Tract 886, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088600> block group:3",348,137,,,,,,,,,,1390,48.1,23.8,33.3,-666666666.0,-666666666.0,-666666666.0,19.8,48.8
"Block Group 2, Census Tract 892, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089200> block group:2",107,51,,,,,,,,,,543,49.0,-666666666.0,53.5,-666666666.0,-666666666.0,-666666666.0,19.4,49.4
"Block Group 1, Census Tract 893, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089300> block group:1",176,89,,,,,,,,,,1655,39.3,31.4,23.5,-666666666.0,-666666666.0,-666666666.0,29.4,40.2
"Block Group 4, Census Tract 893, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089300> block group:4",91,35,,,,,,,,,,822,38.2,-666666666.0,21.6,-666666666.0,-666666666.0,-666666666.0,21.5,38.2
"Block Group 1, Census Tract 891, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089100> block group:1",90,54,,,,,,,,,,905,30.8,-666666666.0,34.1,-666666666.0,-666666666.0,-666666666.0,15.5,30.7
"Block Group 2, Census Tract 890, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089000> block group:2",194,81,,,,,,,,,,1615,41.7,11.8,22.9,-666666666.0,-666666666.0,-666666666.0,13.4,44.2
"Block Group 1, Census Tract 890, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089000> block group:1",130,46,,,,,,,,,,1119,34.3,-666666666.0,30.6,-666666666.0,-666666666.0,-666666666.0,14.5,34.3
"Block Group 3, Census Tract 889, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088900> block group:3",57,31,,,,,,,,,,629,31.3,-666666666.0,50.1,23.0,-666666666.0,-666666666.0,21.5,38.2
"Block Group 2, Census Tract 889, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088900> block group:2",243,64,,,,,,,,,,2133,24.3,20.8,20.8,25.9,-666666666.0,7.5,22.6,24.5
"Block Group 2, Census Tract 888, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088800> block group:2",184,77,,,,,,,,,,2541,49.2,9.3,38.3,-666666666.0,-666666666.0,-666666666.0,25.0,49.1
"Block Group 1, Census Tract 888, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088800> block group:1",121,60,,,,,,,,,,1581,44.5,-666666666.0,45.5,-666666666.0,-666666666.0,-666666666.0,21.4,44.2
"Block Group 4, Census Tract 888, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088800> block group:4",81,33,,,,,,,,,,1195,35.9,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.8,36.1
"Block Group 2, Census Tract 896, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089600> block group:2",350,140,,,,,,,,,,771,36.2,-666666666.0,14.5,-666666666.0,-666666666.0,18.3,16.9,36.7
"Block Group 3, Census Tract 890, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089000> block group:3",160,68,,,,,,,,,,1331,40.1,-666666666.0,25.9,-666666666.0,-666666666.0,-666666666.0,20.8,40.8
"Block Group 4, Census Tract 889, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088900> block group:4",71,35,,,,,,,,,,740,23.0,19.6,14.7,-666666666.0,-666666666.0,-666666666.0,21.9,23.2
"Block Group 1, Census Tract 896, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089600> block group:1",408,174,,,,,,,,,,1193,48.1,-666666666.0,45.8,-666666666.0,-666666666.0,-666666666.0,28.7,48.1
"Block Group 2, Census Tract 887, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088700> block group:2",187,82,,,,,,,,,,1000,46.7,-666666666.0,47.2,-666666666.0,-666666666.0,-666666666.0,34.1,46.7
"Block Group 3, Census Tract 893, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089300> block group:3",84,48,,,,,,,,,,795,29.7,-666666666.0,33.8,-666666666.0,-666666666.0,-666666666.0,25.6,29.9
"Block Group 2, Census Tract 886, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088600> block group:2",387,161,,,,,,,,,,1149,42.9,5.9,7.0,-666666666.0,-666666666.0,-666666666.0,24.8,46.8
"Block Group 1, Census Tract 892, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089200> block group:1",189,114,,,,,,,,,,1009,30.6,18.9,39.4,-666666666.0,-666666666.0,-666666666.0,29.5,32.5
"Block Group 2, Census Tract 893, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089300> block group:2",96,44,,,,,,,,,,930,39.4,-666666666.0,28.6,-666666666.0,-666666666.0,-666666666.0,16.6,41.1
"Block Group 2, Census Tract 891, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089100> block group:2",122,79,,,,,,,,,,1155,40.2,35.0,25.4,-666666666.0,-666666666.0,-666666666.0,29.6,40.2
"Block Group 1, Census Tract 889, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088900> block group:1",122,62,,,,,,,,,,988,49.8,58.3,56.5,-666666666.0,-666666666.0,-666666666.0,20.3,54.3
"Block Group 3, Census Tract 887, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088700> block group:3",262,143,,,,,,,,,,595,47.3,35.9,48.5,-666666666.0,-666666666.0,-666666666.0,24.8,47.5
"Block Group 3, Census Tract 888, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088800> block group:3",88,35,,,,,,,,,,1046,58.3,39.6,12.9,-666666666.0,-666666666.0,-666666666.0,31.4,55.8
"Block Group 5, Census Tract 888, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088800> block group:5",56,27,,,,,,,,,,847,56.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9,56.3
"Block Group 1, Census Tract 887, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:088700> block group:1",152,77,,,,,,,,,,729,40.2,14.0,35.2,-666666666.0,-666666666.0,-666666666.0,33.1,40.4
"Block Group 3, Census Tract 895.98, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089598> block group:3",328,131,,,,,,,,,,2068,41.5,-666666666.0,19.9,-666666666.0,-666666666.0,-666666666.0,25.5,43.0
"Block Group 2, Census Tract 895.98, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089598> block group:2",167,70,,,,,,,,,,1084,48.3,-666666666.0,17.7,-666666666.0,-666666666.0,34.3,23.3,49.2
"Block Group 1, Census Tract 895.98, Pontotoc County, Oklahoma: Summary level: 150, state:40> county:123> tract:089598> block group:1",269,115,,,,,,,,,,1867,44.7,-666666666.0,17.6,34.7,-666666666.0,-666666666.0,18.1,44.9
