,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 505.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050501> block group:1",379,144,,,,,,,,,,3090,44.5,-666666666.0,24.7,-666666666.0,-666666666.0,17.1,35.7,45.2
"Block Group 1, Census Tract 501.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050101> block group:1",188,73,,,,,,,,,,1430,40.2,47.3,35.1,-666666666.0,-666666666.0,-666666666.0,29.8,39.4
"Block Group 2, Census Tract 501.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050101> block group:2",137,49,,,,,,,,,,1260,30.8,-666666666.0,21.9,-666666666.0,-666666666.0,37.8,29.4,33.1
"Block Group 1, Census Tract 506.02, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050602> block group:1",380,143,,,,,,,,,,3348,40.2,-666666666.0,31.6,34.8,-666666666.0,41.1,29.0,40.2
"Block Group 1, Census Tract 507.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050701> block group:1",336,171,,,,,,,,,,1197,38.3,-666666666.0,29.7,-666666666.0,-666666666.0,-666666666.0,29.7,43.9
"Block Group 2, Census Tract 507.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050701> block group:2",255,116,,,,,,,,,,909,38.4,-666666666.0,24.6,-666666666.0,-666666666.0,46.3,25.6,38.4
"Block Group 1, Census Tract 507.02, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050702> block group:1",121,50,,,,,,,,,,1061,44.7,-666666666.0,39.8,-666666666.0,-666666666.0,-666666666.0,54.1,44.7
"Block Group 1, Census Tract 502.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050201> block group:1",430,183,,,,,,,,,,2519,51.8,-666666666.0,33.2,-666666666.0,-666666666.0,17.4,30.8,52.1
"Block Group 1, Census Tract 502.03, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050203> block group:1",316,143,,,,,,,,,,1592,49.2,52.8,26.7,-666666666.0,-666666666.0,27.9,35.6,49.1
"Block Group 2, Census Tract 503.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050301> block group:2",255,112,,,,,,,,,,1328,46.0,-666666666.0,33.8,-666666666.0,-666666666.0,-666666666.0,41.6,46.0
"Block Group 1, Census Tract 504.09, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050409> block group:1",369,137,,,,,,,,,,1963,47.6,-666666666.0,23.6,-666666666.0,-666666666.0,21.3,27.8,50.0
"Block Group 1, Census Tract 506.04, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050604> block group:1",149,61,,,,,,,,,,1294,50.0,-666666666.0,36.5,-666666666.0,-666666666.0,-666666666.0,15.3,50.0
"Block Group 1, Census Tract 503.03, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050303> block group:1",204,87,,,,,,,,,,1701,49.7,-666666666.0,20.9,-666666666.0,-666666666.0,-666666666.0,56.3,49.7
"Block Group 1, Census Tract 503.02, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050302> block group:1",510,214,,,,,,,,,,2684,46.3,13.6,28.3,23.5,-666666666.0,33.9,19.5,46.2
"Block Group 1, Census Tract 504.04, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050404> block group:1",163,62,,,,,,,,,,2625,37.1,21.7,51.3,36.5,-666666666.0,-666666666.0,13.6,37.5
"Block Group 1, Census Tract 504.06, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050406> block group:1",424,162,,,,,,,,,,2329,48.1,-666666666.0,43.6,38.7,-666666666.0,22.5,17.8,49.3
"Block Group 1, Census Tract 504.03, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050403> block group:1",357,136,,,,,,,,,,3348,41.7,36.9,30.7,28.3,-666666666.0,-666666666.0,17.4,42.1
"Block Group 3, Census Tract 501.01, Rogers County, Oklahoma: Summary level: 150, state:40> county:131> tract:050101> block group:3",229,99,,,,,,,,,,2057,28.8,34.0,25.8,52.2,-666666666.0,-666666666.0,19.4,27.5
