,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 5, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000500> block group:2",140.0,60.0,,,,,,,,,,1354,59.2,-666666666.0,-666666666.0,36.1,-666666666.0,76.8,18.0,59.8
"Block Group 1, Census Tract 5, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000500> block group:1",80.0,33.0,,,,,,,,,,776,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3,-666666666.0,53.8
"Block Group 3, Census Tract 9, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000900> block group:3",109.0,59.0,,,,,,,,,,1848,30.7,-666666666.0,-666666666.0,26.7,-666666666.0,-666666666.0,28.7,34.0
"Block Group 4, Census Tract 9, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000900> block group:4",52.0,22.0,,,,,,,,,,967,55.9,-666666666.0,-666666666.0,42.4,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 5, Census Tract 9, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000900> block group:5",37.0,21.0,,,,,,,,,,656,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2,38.7
"Block Group 3, Census Tract 10.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001002> block group:3",91.0,36.0,,,,,,,,,,791,40.5,-666666666.0,-666666666.0,40.9,-666666666.0,27.5,50.3,40.6
"Block Group 1, Census Tract 10.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001002> block group:1",79.0,39.0,,,,,,,,,,914,25.9,-666666666.0,-666666666.0,24.5,-666666666.0,-666666666.0,-666666666.0,26.7
"Block Group 3, Census Tract 10.01, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001001> block group:3",141.0,63.0,,,,,,,,,,1536,27.3,-666666666.0,3.9,35.9,-666666666.0,28.4,26.2,40.7
"Block Group 1, Census Tract 10.01, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001001> block group:1",111.0,53.0,,,,,,,,,,1107,33.1,5.2,-666666666.0,41.0,-666666666.0,-666666666.0,33.6,34.6
"Block Group 3, Census Tract 11.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001102> block group:3",61.0,24.0,,,,,,,,,,1357,22.8,-666666666.0,-666666666.0,25.1,-666666666.0,-666666666.0,-666666666.0,22.8
"Block Group 4, Census Tract 11.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001102> block group:4",94.0,27.0,,,,,,,,,,814,21.4,-666666666.0,-666666666.0,20.7,-666666666.0,-666666666.0,19.6,21.4
"Block Group 1, Census Tract 11.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001102> block group:1",62.0,23.0,,,,,,,,,,833,23.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.5,23.3
"Block Group 2, Census Tract 11.02, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:001102> block group:2",106.0,40.0,,,,,,,,,,1742,22.8,-666666666.0,-666666666.0,23.7,-666666666.0,-666666666.0,21.8,22.6
"Block Group 3, Census Tract 104, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010400> block group:3",349.0,140.0,,,,,,,,,,2949,39.4,10.9,25.6,-666666666.0,-666666666.0,18.9,13.9,43.8
"Block Group 1, Census Tract 104, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010400> block group:1",52.0,25.0,,,,,,,,,,504,61.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.2
"Block Group 2, Census Tract 104, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010400> block group:2",71.0,28.0,,,,,,,,,,736,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 3, Census Tract 101, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010100> block group:3",160.0,63.0,,,,,,,,,,2658,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.2,40.9
"Block Group 1, Census Tract 101, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010100> block group:1",57.0,21.0,,,,,,,,,,859,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 2, Census Tract 101, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010100> block group:2",119.0,46.0,,,,,,,,,,1909,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 4, Census Tract 101, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010100> block group:4",84.0,36.0,,,,,,,,,,1393,48.7,-666666666.0,-666666666.0,59.3,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 5, Census Tract 101, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:010100> block group:5",103.0,44.0,,,,,,,,,,1688,46.3,-666666666.0,-666666666.0,41.1,-666666666.0,-666666666.0,10.4,51.9
"Block Group 4, Census Tract 4, Benton County, Oregon: Summary level: 150, state:41> county:003> tract:000400> block group:4",72.0,30.0,,,,,,,,,,1070,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.9
