,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 8, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:8",77,30,,,,,,,,,,1289,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,5.1,44.6
"Block Group 1, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:1",53,29,,,,,,,,,,1170,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 7, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:7",53,26,,,,,,,,,,1055,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.6,53.9
"Block Group 3, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:3",29,15,,,,,,,,,,391,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.7,54.1
"Block Group 4, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:4",30,18,,,,,,,,,,667,58.3,-666666666.0,-666666666.0,22.9,-666666666.0,-666666666.0,-666666666.0,58.3
"Block Group 6, Census Tract 7, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:000700> block group:6",78,32,,,,,,,,,,1258,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.9,44.0
"Block Group 6, Census Tract 10, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:001000> block group:6",52,30,,,,,,,,,,898,59.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.1
"Block Group 7, Census Tract 10, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:001000> block group:7",55,27,,,,,,,,,,951,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 1, Census Tract 10, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:001000> block group:1",48,18,,,,,,,,,,958,65.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.9
"Block Group 1, Census Tract 11, Coos County, Oregon: Summary level: 150, state:41> county:011> tract:001100> block group:1",38,24,,,,,,,,,,592,56.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
