,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 10.01, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:001001> block group:2",12,8,,,,,,,,,,291,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 1, Census Tract 10.01, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:001001> block group:1",71,26,,,,,,,,,,1301,54.2,-666666666.0,9.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 5, Census Tract 7, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000700> block group:5",123,52,,,,,,,,,,2710,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9,39.3
"Block Group 4, Census Tract 15, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:001500> block group:4",66,42,,,,,,,,,,1130,72.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72.6
"Block Group 4, Census Tract 6.01, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000601> block group:4",102,46,,,,,,,,,,1974,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.3
"Block Group 3, Census Tract 6.02, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000602> block group:3",118,61,,,,,,,,,,1920,76.4,-666666666.0,-666666666.0,25.8,-666666666.0,-666666666.0,-666666666.0,76.5
"Block Group 2, Census Tract 6.02, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000602> block group:2",131,67,,,,,,,,,,2205,55.2,-666666666.0,-666666666.0,47.6,-666666666.0,-666666666.0,44.1,55.4
"Block Group 3, Census Tract 30.02, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:003002> block group:3",120,53,,,,,,,,,,1980,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 2, Census Tract 30.02, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:003002> block group:2",56,31,,,,,,,,,,959,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 1, Census Tract 25, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:002500> block group:1",108,51,,,,,,,,,,1294,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3
"Block Group 2, Census Tract 25, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:002500> block group:2",155,82,,,,,,,,,,678,57.4,-666666666.0,-666666666.0,-666666666.0,64.7,42.4,-666666666.0,57.1
"Block Group 2, Census Tract 9, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000900> block group:2",150,59,,,,,,,,,,2571,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,40.2
"Block Group 1, Census Tract 9, Jackson County, Oregon: Summary level: 150, state:41> county:029> tract:000900> block group:1",38,17,,,,,,,,,,653,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.6
