,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9400, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:940000> block group:2",286,89,,,,,,,,,,1947,46.6,-666666666.0,28.4,-666666666.0,-666666666.0,-666666666.0,29.2,46.4
"Block Group 1, Census Tract 9400, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:940000> block group:1",241,63,,,,,,,,,,1632,18.0,15.8,22.3,-666666666.0,24.4,-666666666.0,-666666666.0,42.1
"Block Group 2, Census Tract 9603.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960302> block group:2",258,105,,,,,,,,,,1211,35.3,45.4,36.2,-666666666.0,-666666666.0,17.6,57.4,41.7
"Block Group 1, Census Tract 9602.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960202> block group:1",58,24,,,,,,,,,,1645,27.0,-666666666.0,-666666666.0,15.8,-666666666.0,8.7,-666666666.0,38.4
"Block Group 1, Census Tract 9601, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960100> block group:1",170,44,,,,,,,,,,1344,34.6,38.6,41.5,-666666666.0,-666666666.0,62.1,30.6,37.4
"Block Group 2, Census Tract 9601, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960100> block group:2",166,64,,,,,,,,,,1054,50.9,-666666666.0,26.0,-666666666.0,-666666666.0,20.3,-666666666.0,51.7
"Block Group 4, Census Tract 9603.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960302> block group:4",304,129,,,,,,,,,,2134,45.4,7.8,-666666666.0,-666666666.0,-666666666.0,26.5,4.4,48.8
"Block Group 3, Census Tract 9603.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960302> block group:3",44,33,,,,,,,,,,535,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.3,-666666666.0,58.3
"Block Group 3, Census Tract 9602.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960202> block group:3",73,35,,,,,,,,,,1507,51.0,-666666666.0,20.0,30.7,-666666666.0,18.2,-666666666.0,53.4
"Block Group 2, Census Tract 9602.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960202> block group:2",106,47,,,,,,,,,,1847,49.7,-666666666.0,33.3,-666666666.0,-666666666.0,-666666666.0,31.2,48.6
"Block Group 2, Census Tract 9602.01, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960201> block group:2",98,42,,,,,,,,,,1549,45.5,-666666666.0,16.9,-666666666.0,-666666666.0,41.1,-666666666.0,53.7
"Block Group 1, Census Tract 9603.01, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960301> block group:1",80,45,,,,,,,,,,973,59.5,-666666666.0,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.5
"Block Group 1, Census Tract 9602.01, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960201> block group:1",112,53,,,,,,,,,,1800,27.8,-666666666.0,12.0,-666666666.0,-666666666.0,37.2,-666666666.0,32.9
"Block Group 2, Census Tract 9603.01, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960301> block group:2",81,49,,,,,,,,,,872,57.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 3, Census Tract 9603.01, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960301> block group:3",132,74,,,,,,,,,,1446,61.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.3
"Block Group 1, Census Tract 9603.02, Jefferson County, Oregon: Summary level: 150, state:41> county:031> tract:960302> block group:1",128,175,,,,,,,,,,565,59.4,-666666666.0,-666666666.0,53.0,-666666666.0,-666666666.0,-666666666.0,61.5
