,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 204, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020400> block group:1",220,86,,,,,,,,,,1083,37.2,-666666666.0,10.0,-666666666.0,-666666666.0,-666666666.0,17.5,38.2
"Block Group 4, Census Tract 204, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020400> block group:4",310,130,,,,,,,,,,1253,52.2,-666666666.0,16.6,-666666666.0,-666666666.0,-666666666.0,42.3,52.6
"Block Group 2, Census Tract 204, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020400> block group:2",348,133,,,,,,,,,,2138,48.9,-666666666.0,36.5,-666666666.0,16.5,-666666666.0,26.0,50.0
"Block Group 5, Census Tract 204, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020400> block group:5",50,17,,,,,,,,,,526,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.9,53.7
"Block Group 5, Census Tract 53, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005300> block group:5",192,70,,,,,,,,,,3244,44.8,-666666666.0,-666666666.0,51.7,-666666666.0,-666666666.0,11.5,49.5
"Block Group 2, Census Tract 203.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020304> block group:2",75,27,,,,,,,,,,1561,26.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2,30.2,25.2
"Block Group 3, Census Tract 52.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005202> block group:3",152,53,,,,,,,,,,3144,36.5,14.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 2, Census Tract 52.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005202> block group:2",84,40,,,,,,,,,,1742,47.7,-666666666.0,10.1,46.3,37.0,-666666666.0,19.0,48.2
"Block Group 2, Census Tract 53, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005300> block group:2",70,41,,,,,,,,,,1297,66.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,-666666666.0,71.2
"Block Group 4, Census Tract 53, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005300> block group:4",75,24,,,,,,,,,,1550,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 3, Census Tract 53, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005300> block group:3",130,54,,,,,,,,,,2065,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.4,46.1
"Block Group 1, Census Tract 52.01, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005201> block group:1",35,13,,,,,,,,,,484,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 3, Census Tract 52.01, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005201> block group:3",186,80,,,,,,,,,,3480,42.6,-666666666.0,-666666666.0,29.4,-666666666.0,42.7,15.5,46.2
"Block Group 1, Census Tract 202.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020204> block group:1",136,45,,,,,,,,,,1337,28.6,-666666666.0,25.8,37.2,-666666666.0,-666666666.0,13.2,28.6
"Block Group 2, Census Tract 202.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020204> block group:2",138,47,,,,,,,,,,1364,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 1, Census Tract 51, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005100> block group:1",114,44,,,,,,,,,,849,34.5,13.5,-666666666.0,32.5,28.2,34.1,29.1,35.0
"Block Group 1, Census Tract 203.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020304> block group:1",87,41,,,,,,,,,,1799,29.4,33.5,-666666666.0,23.4,-666666666.0,-666666666.0,64.2,29.7
"Block Group 2, Census Tract 203.03, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020303> block group:2",91,44,,,,,,,,,,1261,40.1,-666666666.0,-666666666.0,49.1,-666666666.0,14.6,8.6,40.3
"Block Group 2, Census Tract 205, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020500> block group:2",242,96,,,,,,,,,,3139,46.5,-666666666.0,-666666666.0,71.4,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 1, Census Tract 203.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020302> block group:1",63,27,,,,,,,,,,963,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 5, Census Tract 203.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020302> block group:5",129,51,,,,,,,,,,3008,25.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9,10.0,31.2
"Block Group 4, Census Tract 52.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005202> block group:4",165,63,,,,,,,,,,3182,44.5,-666666666.0,3.7,47.4,-666666666.0,12.9,37.2,44.6
"Block Group 1, Census Tract 52.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005202> block group:1",94,40,,,,,,,,,,1749,52.5,-666666666.0,-666666666.0,46.9,-666666666.0,-666666666.0,36.1,55.8
"Block Group 1, Census Tract 53, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005300> block group:1",66,27,,,,,,,,,,857,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.0
"Block Group 2, Census Tract 202.02, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020202> block group:2",113,49,,,,,,,,,,2152,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 2, Census Tract 52.01, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005201> block group:2",264,101,,,,,,,,,,5054,34.8,-666666666.0,22.8,12.5,-666666666.0,-666666666.0,24.2,38.1
"Block Group 3, Census Tract 202.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020204> block group:3",219,87,,,,,,,,,,2456,47.4,-666666666.0,36.6,26.5,-666666666.0,-666666666.0,13.6,48.0
"Block Group 2, Census Tract 51, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:005100> block group:2",171,71,,,,,,,,,,1588,31.8,-666666666.0,9.7,-666666666.0,22.3,-666666666.0,14.9,32.8
"Block Group 3, Census Tract 203.04, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020304> block group:3",163,63,,,,,,,,,,3613,37.2,-666666666.0,12.0,-666666666.0,-666666666.0,50.3,6.6,40.8
"Block Group 1, Census Tract 203.03, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020303> block group:1",331,62,,,,,,,,,,3144,21.6,19.4,-666666666.0,19.2,-666666666.0,19.7,19.5,22.1
"Block Group 3, Census Tract 205, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020500> block group:3",108,50,,,,,,,,,,2021,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.4,20.9,38.6
"Block Group 1, Census Tract 205, Polk County, Oregon: Summary level: 150, state:41> county:053> tract:020500> block group:1",234,104,,,,,,,,,,1064,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,52.8
