,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9706, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970600> block group:2",130,63,,,,,,,,,,1575,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 2, Census Tract 9703, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970300> block group:2",68,27,,,,,,,,,,875,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.1,36.7
"Block Group 3, Census Tract 9703, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970300> block group:3",92,38,,,,,,,,,,828,39.1,51.6,85.2,-666666666.0,-666666666.0,62.6,19.3,39.5
"Block Group 2, Census Tract 9701, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970100> block group:2",81,35,,,,,,,,,,842,58.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.6,61.3
"Block Group 1, Census Tract 9701, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970100> block group:1",248,96,,,,,,,,,,2957,41.6,-666666666.0,11.0,-666666666.0,-666666666.0,29.0,21.5,45.4
"Block Group 3, Census Tract 9701, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970100> block group:3",37,18,,,,,,,,,,465,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 1, Census Tract 9708, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970800> block group:1",361,169,,,,,,,,,,1325,39.6,-666666666.0,31.5,-666666666.0,-666666666.0,-666666666.0,64.0,41.5
"Block Group 4, Census Tract 9708, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970800> block group:4",217,150,,,,,,,,,,1245,61.6,-666666666.0,-666666666.0,2.9,-666666666.0,-666666666.0,25.5,64.1
"Block Group 3, Census Tract 9708, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970800> block group:3",167,51,,,,,,,,,,850,60.1,-666666666.0,24.9,-666666666.0,-666666666.0,-666666666.0,21.6,63.4
"Block Group 2, Census Tract 9708, Wasco County, Oregon: Summary level: 150, state:41> county:065> tract:970800> block group:2",255,152,,,,,,,,,,1161,48.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.1,49.2
