,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 4141.01, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:414101> block group:4",81.0,30.0,,,,,,,,,,1152,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 1, Census Tract 1807, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:180700> block group:1",76.0,45.0,,,,,,,,,,636,27.9,26.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.5
"Block Group 1, Census Tract 1911, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:191100> block group:1",106.0,52.0,,,,,,,,,,1259,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 2, Census Tract 1911, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:191100> block group:2",141.0,80.0,,,,,,,,,,1263,47.2,-666666666.0,-666666666.0,27.8,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 1, Census Tract 2107, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:210700> block group:1",118.0,75.0,,,,,,,,,,1286,33.2,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.7,33.5
"Block Group 2, Census Tract 2206, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:220600> block group:2",58.0,29.0,,,,,,,,,,355,31.0,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6,30.5
"Block Group 2, Census Tract 2602, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:260200> block group:2",150.0,71.0,,,,,,,,,,1032,49.6,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,49.6
"Block Group 3, Census Tract 2602, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:260200> block group:3",62.0,33.0,,,,,,,,,,469,29.2,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.7
"Block Group 1, Census Tract 2703, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:270300> block group:1",176.0,85.0,,,,,,,,,,1428,51.1,19.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.1,51.1
"Block Group 1, Census Tract 4928, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:492800> block group:1",91.0,50.0,,,,,,,,,,1544,37.0,59.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.1,37.0
"Block Group 3, Census Tract 4626, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:462600> block group:3",73.0,29.0,,,,,,,,,,712,49.1,28.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 2, Census Tract 4690, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:469000> block group:2",269.0,111.0,,,,,,,,,,2662,47.0,11.3,-666666666.0,67.9,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 1, Census Tract 4690, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:469000> block group:1",113.0,47.0,,,,,,,,,,1116,47.5,-666666666.0,-666666666.0,46.5,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 2, Census Tract 4928, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:492800> block group:2",82.0,52.0,,,,,,,,,,1061,65.1,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.5
"Block Group 1, Census Tract 5070, Allegheny County, Pennsylvania: Summary level: 150, state:42> county:003> tract:507000> block group:1",147.0,70.0,,,,,,,,,,882,53.3,47.1,-666666666.0,-666666666.0,-666666666.0,13.5,16.2,53.4
