,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1014.03, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:101403> block group:1",70,30,,,,,,,,,,1238,47.7,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 2, Census Tract 1014.03, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:101403> block group:2",40,18,,,,,,,,,,755,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 2, Census Tract 1014.04, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:101404> block group:2",104,44,,,,,,,,,,689,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 2, Census Tract 1050.10, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105010> block group:2",234,97,,,,,,,,,,2387,51.1,-666666666.0,-666666666.0,39.3,-666666666.0,-666666666.0,-666666666.0,51.2
"Block Group 1, Census Tract 1050.10, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105010> block group:1",160,56,,,,,,,,,,1603,44.5,-666666666.0,-666666666.0,38.1,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 4, Census Tract 1058.11, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105811> block group:4",49,19,,,,,,,,,,854,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 5, Census Tract 1058.11, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105811> block group:5",75,25,,,,,,,,,,1373,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 1, Census Tract 1020.04, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:102004> block group:1",211,101,,,,,,,,,,1980,48.9,48.2,-666666666.0,32.9,-666666666.0,-666666666.0,3.8,48.9
"Block Group 2, Census Tract 1020.04, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:102004> block group:2",112,36,,,,,,,,,,1046,46.6,-666666666.0,-666666666.0,18.6,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 3, Census Tract 1020.04, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:102004> block group:3",164,58,,,,,,,,,,1557,40.6,-666666666.0,-666666666.0,10.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 1057.04, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105704> block group:1",61,19,,,,,,,,,,1419,34.9,25.3,-666666666.0,10.1,-666666666.0,-666666666.0,9.7,36.6
"Block Group 2, Census Tract 1058.11, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105811> block group:2",87,35,,,,,,,,,,1727,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.3,-666666666.0,42.8
"Block Group 1, Census Tract 1058.12, Bucks County, Pennsylvania: Summary level: 150, state:42> county:017> tract:105812> block group:1",278,105,,,,,,,,,,1659,42.3,14.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.0,42.6
