,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 305, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030500> block group:3",325,149,,,,,,,,,,1235,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 1, Census Tract 305, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030500> block group:1",326,145,,,,,,,,,,960,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.8,41.3
"Block Group 2, Census Tract 305, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030500> block group:2",286,111,,,,,,,,,,1457,45.9,29.1,-666666666.0,33.5,-666666666.0,-666666666.0,23.3,47.7
"Block Group 1, Census Tract 306, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030600> block group:1",96,42,,,,,,,,,,984,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.6,25.6
"Block Group 5, Census Tract 307, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030700> block group:5",127,24,,,,,,,,,,1677,21.6,19.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.6
"Block Group 1, Census Tract 307, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030700> block group:1",290,20,,,,,,,,,,2132,21.1,19.1,-666666666.0,19.9,-666666666.0,-666666666.0,-666666666.0,21.3
"Block Group 4, Census Tract 309, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030900> block group:4",320,144,,,,,,,,,,829,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 309, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030900> block group:2",411,148,,,,,,,,,,934,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.5,32.5
"Block Group 3, Census Tract 309, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030900> block group:3",321,139,,,,,,,,,,903,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 2, Census Tract 308, Clinton County, Pennsylvania: Summary level: 150, state:42> county:035> tract:030800> block group:2",240,99,,,,,,,,,,1313,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.3,48.0
