,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 220, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022000> block group:2",53,31,,,,,,,,,,1243,49.4,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3,49.4
"Block Group 1, Census Tract 222, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022200> block group:1",59,29,,,,,,,,,,760,42.7,18.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,42.9
"Block Group 2, Census Tract 222, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022200> block group:2",111,52,,,,,,,,,,1287,50.3,30.5,-666666666.0,-666666666.0,-666666666.0,25.4,16.8,50.8
"Block Group 1, Census Tract 223, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022300> block group:1",56,29,,,,,,,,,,1071,49.2,51.2,-666666666.0,-666666666.0,-666666666.0,14.1,-666666666.0,48.2
"Block Group 1, Census Tract 214, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:021400> block group:1",72,28,,,,,,,,,,1079,26.4,21.1,-666666666.0,52.4,-666666666.0,36.5,-666666666.0,53.7
"Block Group 3, Census Tract 214, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:021400> block group:3",92,46,,,,,,,,,,1341,49.6,24.4,-666666666.0,73.2,-666666666.0,59.2,3.6,60.8
"Block Group 2, Census Tract 214, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:021400> block group:2",64,29,,,,,,,,,,1009,32.9,37.5,-666666666.0,29.5,-666666666.0,41.4,-666666666.0,54.6
"Block Group 3, Census Tract 216, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:021600> block group:3",135,61,,,,,,,,,,1841,32.2,30.3,-666666666.0,25.9,-666666666.0,-666666666.0,29.1,37.0
"Block Group 1, Census Tract 218, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:021800> block group:1",121,50,,,,,,,,,,703,50.8,34.3,-666666666.0,-666666666.0,-666666666.0,43.8,26.0,50.8
"Block Group 1, Census Tract 231, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:023100> block group:1",381,169,,,,,,,,,,1519,44.9,32.8,-666666666.0,43.1,-666666666.0,29.8,13.8,44.8
"Block Group 1, Census Tract 248, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:024800> block group:1",282,145,,,,,,,,,,699,50.8,-666666666.0,-666666666.0,51.3,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 2, Census Tract 248, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:024800> block group:2",844,327,,,,,,,,,,3014,47.1,-666666666.0,-666666666.0,9.0,-666666666.0,18.5,6.7,47.1
"Block Group 4, Census Tract 248, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:024800> block group:4",130,60,,,,,,,,,,1331,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 252, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:025200> block group:2",261,101,,,,,,,,,,1307,39.6,18.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 1, Census Tract 253, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:025300> block group:1",102,41,,,,,,,,,,1318,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 2, Census Tract 253, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:025300> block group:2",289,123,,,,,,,,,,2853,50.0,77.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 201, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:020100> block group:2",50,27,,,,,,,,,,1155,32.1,27.9,-666666666.0,29.4,-666666666.0,-666666666.0,4.0,32.3
"Block Group 4, Census Tract 245.03, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:024503> block group:4",69,30,,,,,,,,,,993,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.7
"Block Group 4, Census Tract 223, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022300> block group:4",41,19,,,,,,,,,,920,37.7,-666666666.0,-666666666.0,24.8,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 2, Census Tract 223, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022300> block group:2",37,18,,,,,,,,,,865,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 1, Census Tract 225.01, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022501> block group:1",107,41,,,,,,,,,,1695,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 2, Census Tract 225.01, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:022501> block group:2",114,37,,,,,,,,,,1856,55.8,59.2,-666666666.0,-666666666.0,-666666666.0,12.0,12.3,55.8
"Block Group 1, Census Tract 207, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:020700> block group:1",110,55,,,,,,,,,,1073,25.1,24.4,-666666666.0,-666666666.0,-666666666.0,36.6,15.9,52.1
"Block Group 2, Census Tract 207, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:020700> block group:2",174,79,,,,,,,,,,1569,40.4,25.9,-666666666.0,45.1,-666666666.0,27.4,4.1,44.8
"Block Group 2, Census Tract 209, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:020900> block group:2",53,22,,,,,,,,,,796,65.3,41.3,-666666666.0,11.6,-666666666.0,7.4,19.6,60.3
"Block Group 1, Census Tract 209, Dauphin County, Pennsylvania: Summary level: 150, state:42> county:043> tract:020900> block group:1",86,45,,,,,,,,,,1021,38.4,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,54.4
