,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 2607, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260700> block group:1",117,51,,,,,,,,,,1377,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 2607, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260700> block group:2",89,35,,,,,,,,,,923,39.8,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,39.6
"Block Group 2, Census Tract 2613, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261300> block group:2",57,30,,,,,,,,,,1510,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 3, Census Tract 2615, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261500> block group:3",116,51,,,,,,,,,,1565,46.4,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.6,46.4
"Block Group 1, Census Tract 2615, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261500> block group:1",121,54,,,,,,,,,,1309,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 3, Census Tract 2608, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260800> block group:3",165,68,,,,,,,,,,1593,34.5,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 2, Census Tract 2608, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260800> block group:2",139,83,,,,,,,,,,1749,46.6,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 2, Census Tract 2612, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261200> block group:2",218,109,,,,,,,,,,1479,47.3,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.0,48.6
"Block Group 1, Census Tract 2612, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261200> block group:1",152,84,,,,,,,,,,928,40.5,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7,41.2
"Block Group 1, Census Tract 2630, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:263000> block group:1",121,62,,,,,,,,,,1435,42.9,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.0,43.1
"Block Group 2, Census Tract 2601, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260100> block group:2",62,33,,,,,,,,,,1002,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 4, Census Tract 2601, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260100> block group:4",212,98,,,,,,,,,,1350,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 2, Census Tract 2614.02, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261402> block group:2",112,48,,,,,,,,,,1190,42.6,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6
"Block Group 1, Census Tract 2627.02, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262702> block group:1",289,192,,,,,,,,,,958,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 2, Census Tract 2627.02, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262702> block group:2",347,177,,,,,,,,,,1645,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,46.9
"Block Group 2, Census Tract 2604.02, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260402> block group:2",165,68,,,,,,,,,,1687,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 3, Census Tract 2604.02, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260402> block group:3",166,67,,,,,,,,,,1613,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 2605, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260500> block group:1",133,60,,,,,,,,,,1046,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 4, Census Tract 2605, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260500> block group:4",224,92,,,,,,,,,,1953,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.2,39.8
"Block Group 3, Census Tract 2605, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260500> block group:3",64,28,,,,,,,,,,1374,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 3, Census Tract 2606, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:260600> block group:3",327,136,,,,,,,,,,1819,43.6,19.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 1, Census Tract 2631, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:263100> block group:1",236,116,,,,,,,,,,883,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 3, Census Tract 2623, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262300> block group:3",75,41,,,,,,,,,,1103,52.3,49.6,-666666666.0,-666666666.0,24.0,-666666666.0,15.3,51.7
"Block Group 2, Census Tract 2623, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262300> block group:2",55,31,,,,,,,,,,967,47.2,20.3,-666666666.0,-666666666.0,-666666666.0,18.6,-666666666.0,47.2
"Block Group 1, Census Tract 2625, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262500> block group:1",146,75,,,,,,,,,,1421,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 2, Census Tract 2627.01, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262701> block group:2",74,42,,,,,,,,,,1205,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 3, Census Tract 2627.01, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:262701> block group:3",128,28,,,,,,,,,,1198,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.2
"Block Group 2, Census Tract 2614.01, Fayette County, Pennsylvania: Summary level: 150, state:42> county:051> tract:261401> block group:2",120,52,,,,,,,,,,1755,34.1,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.7,34.6
