,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 103, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:010300> block group:3",54,28,,,,,,,,,,1078,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 103, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:010300> block group:1",221,99,,,,,,,,,,1802,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 1, Census Tract 120, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:012000> block group:1",73,28,,,,,,,,,,1084,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.4
"Block Group 1, Census Tract 105, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:010500> block group:1",148,58,,,,,,,,,,2464,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 2, Census Tract 112, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:011200> block group:2",70,30,,,,,,,,,,932,38.3,20.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 3, Census Tract 112, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:011200> block group:3",86,42,,,,,,,,,,1036,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.0,-666666666.0,42.3
"Block Group 2, Census Tract 120, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:012000> block group:2",90,37,,,,,,,,,,1244,66.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.8
"Block Group 3, Census Tract 120, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:012000> block group:3",75,24,,,,,,,,,,1239,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.1
"Block Group 2, Census Tract 121, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:012100> block group:2",120,60,,,,,,,,,,1308,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 3, Census Tract 119, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:011900> block group:3",164,56,,,,,,,,,,2548,44.6,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 1, Census Tract 125.02, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:012502> block group:1",137,59,,,,,,,,,,1725,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 2, Census Tract 113.02, Franklin County, Pennsylvania: Summary level: 150, state:42> county:055> tract:011302> block group:2",177,71,,,,,,,,,,3622,46.9,54.9,-666666666.0,-666666666.0,-666666666.0,29.4,-666666666.0,47.6
