,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9705.02, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970502> block group:2",56,28,,,,,,,,,,524,51.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.7
"Block Group 1, Census Tract 9705.02, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970502> block group:1",41,20,,,,,,,,,,344,57.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 1, Census Tract 9705.01, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970501> block group:1",664,78,,,,,,,,,,4721,45.4,37.5,36.8,-666666666.0,-666666666.0,34.9,37.1,45.4
"Block Group 3, Census Tract 9706, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970600> block group:3",78,31,,,,,,,,,,781,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,37.8
"Block Group 4, Census Tract 9706, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970600> block group:4",98,54,,,,,,,,,,1181,32.8,-666666666.0,-666666666.0,32.3,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 1, Census Tract 9707, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970700> block group:1",197,92,,,,,,,,,,891,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 3, Census Tract 9707, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970700> block group:3",286,127,,,,,,,,,,1112,38.2,-666666666.0,15.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 9702, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970200> block group:2",215,107,,,,,,,,,,1495,49.0,15.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 4, Census Tract 9703, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970300> block group:4",282,116,,,,,,,,,,1129,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,53.3
"Block Group 2, Census Tract 9703, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970300> block group:2",154,79,,,,,,,,,,806,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 9703, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970300> block group:1",143,61,,,,,,,,,,701,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 9703, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970300> block group:3",171,72,,,,,,,,,,1220,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 2, Census Tract 9704, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970400> block group:2",398,195,,,,,,,,,,1018,40.3,72.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 1, Census Tract 9704, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970400> block group:1",314,134,,,,,,,,,,1241,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 3, Census Tract 9704, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970400> block group:3",386,197,,,,,,,,,,917,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.8,45.3
"Block Group 6, Census Tract 9701, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970100> block group:6",33,18,,,,,,,,,,761,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,53.7
"Block Group 7, Census Tract 9701, Greene County, Pennsylvania: Summary level: 150, state:42> county:059> tract:970100> block group:7",62,21,,,,,,,,,,817,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,38.9
