,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 701, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070100> block group:5",325,144,,,,,,,,,,1084,39.7,28.1,-666666666.0,-666666666.0,-666666666.0,21.7,17.1,41.1
"Block Group 1, Census Tract 704, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070400> block group:1",559,234,,,,,,,,,,1820,42.3,12.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.7,42.5
"Block Group 3, Census Tract 704, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070400> block group:3",284,115,,,,,,,,,,1268,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 2, Census Tract 704, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070400> block group:2",247,94,,,,,,,,,,936,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8,40.9
"Block Group 4, Census Tract 702.02, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070202> block group:4",306,129,,,,,,,,,,889,46.4,-666666666.0,-666666666.0,12.6,-666666666.0,-666666666.0,46.1,46.4
"Block Group 3, Census Tract 702.02, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070202> block group:3",322,138,,,,,,,,,,923,45.7,14.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 1, Census Tract 702.02, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070202> block group:1",522,228,,,,,,,,,,2657,44.1,61.4,-666666666.0,-666666666.0,-666666666.0,20.4,6.9,45.9
"Block Group 5, Census Tract 702.02, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070202> block group:5",299,148,,,,,,,,,,861,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 2, Census Tract 702.02, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070202> block group:2",344,152,,,,,,,,,,925,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 2, Census Tract 702.01, Juniata County, Pennsylvania: Summary level: 150, state:42> county:067> tract:070201> block group:2",226,163,,,,,,,,,,660,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.8,46.2
