,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 1, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000100> block group:3",37,19,,,,,,,,,,817,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.7,-666666666.0,53.1
"Block Group 5, Census Tract 1, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000100> block group:5",63,32,,,,,,,,,,1139,53.1,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.2,52.5
"Block Group 1, Census Tract 1, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000100> block group:1",40,20,,,,,,,,,,787,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.1,40.6
"Block Group 4, Census Tract 1, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000100> block group:4",37,17,,,,,,,,,,787,38.0,11.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.5,52.2
"Block Group 1, Census Tract 3, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000300> block group:1",111,39,,,,,,,,,,1790,31.0,18.6,-666666666.0,-666666666.0,-666666666.0,27.8,18.2,34.2
"Block Group 2, Census Tract 3, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000300> block group:2",58,24,,,,,,,,,,870,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.5,-666666666.0,46.0
"Block Group 1, Census Tract 22, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002200> block group:1",609,228,,,,,,,,,,4067,32.8,26.6,-666666666.0,-666666666.0,-666666666.0,42.6,9.8,32.8
"Block Group 2, Census Tract 22, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002200> block group:2",150,64,,,,,,,,,,2235,44.8,66.5,-666666666.0,-666666666.0,-666666666.0,24.1,-666666666.0,44.8
"Block Group 2, Census Tract 34, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003400> block group:2",86,32,,,,,,,,,,738,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 1, Census Tract 34, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003400> block group:1",197,85,,,,,,,,,,1916,47.4,-666666666.0,-666666666.0,10.2,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 3, Census Tract 38, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003800> block group:3",75,32,,,,,,,,,,1112,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 2, Census Tract 38, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003800> block group:2",222,81,,,,,,,,,,2866,53.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
"Block Group 1, Census Tract 38, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003800> block group:1",142,57,,,,,,,,,,2399,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,41.7
"Block Group 1, Census Tract 31, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003100> block group:1",157,55,,,,,,,,,,1591,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 2, Census Tract 27.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002702> block group:2",109,44,,,,,,,,,,2164,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.4,41.6
"Block Group 3, Census Tract 27.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002702> block group:3",89,43,,,,,,,,,,1591,58.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
"Block Group 1, Census Tract 42, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:004200> block group:1",128,49,,,,,,,,,,1485,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 3, Census Tract 3, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000300> block group:3",123,67,,,,,,,,,,2013,44.1,62.4,-666666666.0,-666666666.0,22.3,27.1,30.4,46.7
"Block Group 2, Census Tract 4.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000402> block group:2",75,30,,,,,,,,,,653,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.5,-666666666.0,54.3
"Block Group 3, Census Tract 4.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000402> block group:3",94,35,,,,,,,,,,1025,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,-666666666.0,44.8
"Block Group 4, Census Tract 4.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000402> block group:4",51,23,,,,,,,,,,559,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.7,36.5
"Block Group 1, Census Tract 30, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003000> block group:1",412,168,,,,,,,,,,1796,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 2, Census Tract 30, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003000> block group:2",100,35,,,,,,,,,,1305,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 3, Census Tract 30, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003000> block group:3",179,63,,,,,,,,,,2658,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5,35.2
"Block Group 2, Census Tract 2, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000200> block group:2",21,10,,,,,,,,,,356,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.6
"Block Group 3, Census Tract 2, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000200> block group:3",67,36,,,,,,,,,,903,59.1,-666666666.0,-666666666.0,14.9,-666666666.0,16.0,-666666666.0,58.5
"Block Group 4, Census Tract 2, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000200> block group:4",81,36,,,,,,,,,,1132,54.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.7
"Block Group 1, Census Tract 2, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000200> block group:1",99,40,,,,,,,,,,1999,40.5,32.5,-666666666.0,60.3,-666666666.0,21.2,-666666666.0,41.1
"Block Group 2, Census Tract 31, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003100> block group:2",88,33,,,,,,,,,,1137,36.7,9.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 3, Census Tract 31, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003100> block group:3",155,57,,,,,,,,,,1401,40.7,15.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 32, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003200> block group:1",247,95,,,,,,,,,,2364,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4,-666666666.0,45.4
"Block Group 1, Census Tract 35, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003500> block group:1",186,76,,,,,,,,,,1782,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.7,53.3
"Block Group 3, Census Tract 35, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003500> block group:3",156,69,,,,,,,,,,1769,53.2,52.5,-666666666.0,36.3,-666666666.0,31.4,18.8,53.4
"Block Group 2, Census Tract 21, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002100> block group:2",115,41,,,,,,,,,,1141,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 3, Census Tract 21, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002100> block group:3",116,50,,,,,,,,,,1277,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 3, Census Tract 27.01, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002701> block group:3",68,29,,,,,,,,,,1142,48.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 1, Census Tract 27.01, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002701> block group:1",131,55,,,,,,,,,,2235,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1,-666666666.0,51.0
"Block Group 2, Census Tract 29, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002900> block group:2",160,64,,,,,,,,,,1750,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 1, Census Tract 29, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002900> block group:1",115,58,,,,,,,,,,1361,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,-666666666.0,41.3
"Block Group 3, Census Tract 33, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003300> block group:3",104,46,,,,,,,,,,615,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 1, Census Tract 33, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003300> block group:1",141,32,,,,,,,,,,987,61.8,31.2,-666666666.0,-666666666.0,-666666666.0,33.2,-666666666.0,62.1
"Block Group 1, Census Tract 39.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003902> block group:1",137,69,,,,,,,,,,1616,40.0,-666666666.0,-666666666.0,52.0,-666666666.0,-666666666.0,6.7,40.0
"Block Group 3, Census Tract 28, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002800> block group:3",160,56,,,,,,,,,,2481,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 1, Census Tract 36, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003600> block group:1",282,134,,,,,,,,,,811,45.4,-666666666.0,21.9,-666666666.0,-666666666.0,42.8,11.3,45.5
"Block Group 2, Census Tract 4.01, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000401> block group:2",82,34,,,,,,,,,,1573,40.1,32.0,-666666666.0,-666666666.0,-666666666.0,18.4,-666666666.0,41.8
"Block Group 1, Census Tract 4.01, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000401> block group:1",124,55,,,,,,,,,,1511,39.7,22.3,-666666666.0,-666666666.0,-666666666.0,19.6,7.9,44.0
"Block Group 3, Census Tract 4.01, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:000401> block group:3",98,32,,,,,,,,,,1643,32.6,23.6,-666666666.0,-666666666.0,-666666666.0,21.3,5.5,34.8
"Block Group 2, Census Tract 39.02, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:003902> block group:2",221,94,,,,,,,,,,2356,38.1,-666666666.0,-666666666.0,53.5,-666666666.0,-666666666.0,9.5,38.6
"Block Group 1, Census Tract 41, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:004100> block group:1",195,160,,,,,,,,,,965,70.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,70.9
"Block Group 2, Census Tract 23, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002300> block group:2",268,104,,,,,,,,,,1552,48.1,20.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8,48.1
"Block Group 1, Census Tract 23, Lebanon County, Pennsylvania: Summary level: 150, state:42> county:075> tract:002300> block group:1",183,79,,,,,,,,,,1302,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
