,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 3003.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300301> block group:1",59,71,,,,,,,,,,911,49.8,13.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 1, Census Tract 3004.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300401> block group:1",58,45,,,,,,,,,,669,55.0,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.0
"Block Group 3, Census Tract 3004.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300402> block group:3",128,52,,,,,,,,,,3324,37.6,46.5,-666666666.0,10.9,-666666666.0,17.7,28.8,35.8
"Block Group 2, Census Tract 3001.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300102> block group:2",148,58,,,,,,,,,,3907,36.3,37.2,-666666666.0,8.6,-666666666.0,36.4,6.8,36.7
"Block Group 2, Census Tract 3008, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300800> block group:2",29,19,,,,,,,,,,565,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 5, Census Tract 3008, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300800> block group:5",64,24,,,,,,,,,,1217,51.2,71.9,-666666666.0,38.9,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 4, Census Tract 3008, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300800> block group:4",53,30,,,,,,,,,,1183,44.5,40.7,-666666666.0,-666666666.0,-666666666.0,28.7,-666666666.0,44.5
"Block Group 2, Census Tract 3012.04, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301204> block group:2",70,27,,,,,,,,,,1167,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.4,-666666666.0,34.8
"Block Group 3, Census Tract 3003.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300301> block group:3",22,79,,,,,,,,,,441,60.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 3, Census Tract 3009, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300900> block group:3",170,68,,,,,,,,,,3490,49.0,32.0,-666666666.0,37.6,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 2, Census Tract 3013.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301301> block group:2",52,27,,,,,,,,,,1447,55.9,18.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 2, Census Tract 3003.04, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300304> block group:2",44,36,,,,,,,,,,1513,42.6,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 1, Census Tract 3003.04, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300304> block group:1",40,15,,,,,,,,,,1343,16.0,10.6,-666666666.0,-666666666.0,-666666666.0,21.2,-666666666.0,23.7
"Block Group 3, Census Tract 3007, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300700> block group:3",221,39,,,,,,,,,,1527,26.3,19.9,-666666666.0,18.9,-666666666.0,19.5,32.0,27.2
"Block Group 1, Census Tract 3003.07, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300307> block group:1",59,31,,,,,,,,,,1698,42.1,22.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 3, Census Tract 3003.07, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300307> block group:3",84,51,,,,,,,,,,1777,35.2,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,40.1
"Block Group 1, Census Tract 3003.09, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300309> block group:1",120,57,,,,,,,,,,3118,41.4,41.1,-666666666.0,18.5,-666666666.0,56.3,9.7,50.4
"Block Group 2, Census Tract 3003.07, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300307> block group:2",151,64,,,,,,,,,,3441,39.2,37.2,-666666666.0,56.9,-666666666.0,45.0,17.3,40.5
"Block Group 2, Census Tract 3003.09, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300309> block group:2",40,28,,,,,,,,,,894,26.6,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.4
"Block Group 3, Census Tract 3003.09, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300309> block group:3",43,52,,,,,,,,,,1071,57.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.9
"Block Group 1, Census Tract 3003.11, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300311> block group:1",53,91,,,,,,,,,,913,58.3,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3
"Block Group 1, Census Tract 3012.05, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301205> block group:1",134,50,,,,,,,,,,2978,47.9,63.7,-666666666.0,41.8,-666666666.0,-666666666.0,6.0,48.2
"Block Group 1, Census Tract 3010.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301002> block group:1",108,53,,,,,,,,,,1525,47.4,10.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 2, Census Tract 3009, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300900> block group:2",42,18,,,,,,,,,,712,54.6,42.0,-666666666.0,12.7,-666666666.0,-666666666.0,15.5,54.8
"Block Group 3, Census Tract 3004.03, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300403> block group:3",171,66,,,,,,,,,,3719,41.2,36.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6,43.3
"Block Group 1, Census Tract 3004.03, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300403> block group:1",102,45,,,,,,,,,,2447,47.3,42.9,-666666666.0,37.5,-666666666.0,27.4,14.4,47.9
"Block Group 1, Census Tract 3008, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300800> block group:1",41,13,,,,,,,,,,1317,22.4,38.6,-666666666.0,-666666666.0,-666666666.0,65.8,-666666666.0,23.2
"Block Group 2, Census Tract 3012.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301202> block group:2",149,64,,,,,,,,,,2358,46.9,56.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 1, Census Tract 3012.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301202> block group:1",108,31,,,,,,,,,,1026,55.1,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.3,55.1
"Block Group 3, Census Tract 3012.03, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301203> block group:3",79,33,,,,,,,,,,1327,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.9,50.3
"Block Group 2, Census Tract 3013.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:301302> block group:2",233,94,,,,,,,,,,1680,48.1,17.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.7,50.0
"Block Group 2, Census Tract 3002.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300202> block group:2",46,36,,,,,,,,,,549,34.4,29.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.9
"Block Group 3, Census Tract 3002.02, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300202> block group:3",62,23,,,,,,,,,,1496,40.9,14.6,-666666666.0,61.2,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 3003.08, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300308> block group:2",172,72,,,,,,,,,,2130,47.2,39.4,-666666666.0,32.7,-666666666.0,37.1,16.7,49.2
"Block Group 1, Census Tract 3003.08, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300308> block group:1",43,19,,,,,,,,,,777,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.3,47.6,32.8
"Block Group 2, Census Tract 3003.05, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300305> block group:2",148,53,,,,,,,,,,2379,30.1,40.1,-666666666.0,38.9,-666666666.0,3.3,16.8,39.9
"Block Group 3, Census Tract 3002.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300201> block group:3",63,33,,,,,,,,,,1229,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 1, Census Tract 3002.01, Monroe County, Pennsylvania: Summary level: 150, state:42> county:089> tract:300201> block group:1",91,48,,,,,,,,,,1497,46.6,14.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
