,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 306.02, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030602> block group:3",230,171,,,,,,,,,,466,47.1,38.5,55.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 306.01, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030601> block group:2",393,170,,,,,,,,,,2300,39.8,14.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4,40.0
"Block Group 3, Census Tract 306.01, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030601> block group:3",216,74,,,,,,,,,,1020,25.2,16.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5
"Block Group 3, Census Tract 304, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030400> block group:3",435,177,,,,,,,,,,2229,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.2,49.6
"Block Group 1, Census Tract 304, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030400> block group:1",255,130,,,,,,,,,,1472,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.8,37.9
"Block Group 4, Census Tract 305.01, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030501> block group:4",80,33,,,,,,,,,,1592,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 2, Census Tract 305.01, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030501> block group:2",64,25,,,,,,,,,,1055,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 3, Census Tract 305.01, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030501> block group:3",73,33,,,,,,,,,,1261,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.7,49.6
"Block Group 4, Census Tract 305.02, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030502> block group:4",369,162,,,,,,,,,,1971,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 1, Census Tract 305.02, Perry County, Pennsylvania: Summary level: 150, state:42> county:099> tract:030502> block group:1",169,72,,,,,,,,,,925,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
