,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9505, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950500> block group:3",474,814,,,,,,,,,,859,55.4,-666666666.0,34.9,-666666666.0,-666666666.0,-666666666.0,53.8,55.4
"Block Group 1, Census Tract 9503, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950300> block group:1",565,344,,,,,,,,,,1729,48.6,-666666666.0,-666666666.0,67.8,-666666666.0,-666666666.0,16.9,48.3
"Block Group 3, Census Tract 9503, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950300> block group:3",223,108,,,,,,,,,,1519,50.0,-666666666.0,-666666666.0,6.8,-666666666.0,-666666666.0,6.6,50.1
"Block Group 2, Census Tract 9503, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950300> block group:2",152,73,,,,,,,,,,970,38.3,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 1, Census Tract 9502, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950200> block group:1",473,296,,,,,,,,,,1219,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.8,45.1
"Block Group 2, Census Tract 9502, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950200> block group:2",168,91,,,,,,,,,,935,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1
"Block Group 1, Census Tract 9504, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950400> block group:1",238,147,,,,,,,,,,1264,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 3, Census Tract 9504, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950400> block group:3",457,760,,,,,,,,,,1035,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.0,-666666666.0,42.3
"Block Group 3, Census Tract 9501, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950100> block group:3",567,312,,,,,,,,,,1387,38.6,-666666666.0,65.7,-666666666.0,-666666666.0,-666666666.0,38.0,38.1
"Block Group 1, Census Tract 9501, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950100> block group:1",303,145,,,,,,,,,,1166,49.4,11.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.7
"Block Group 2, Census Tract 9501, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950100> block group:2",424,216,,,,,,,,,,1267,43.3,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.4,42.9
"Block Group 2, Census Tract 9505, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950500> block group:2",167,76,,,,,,,,,,655,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 3, Census Tract 9502, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950200> block group:3",386,246,,,,,,,,,,966,39.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 2, Census Tract 9504, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950400> block group:2",298,260,,,,,,,,,,788,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 4, Census Tract 9501, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950100> block group:4",447,348,,,,,,,,,,1093,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5,50.3
"Block Group 1, Census Tract 9505, Potter County, Pennsylvania: Summary level: 150, state:42> county:105> tract:950500> block group:1",140,83,,,,,,,,,,525,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
