,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 203, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020300> block group:5",50,27,,,,,,,,,,471,48.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 3, Census Tract 203, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020300> block group:3",69,29,,,,,,,,,,682,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.7,40.9
"Block Group 4, Census Tract 203, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020300> block group:4",59,27,,,,,,,,,,551,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 2, Census Tract 215, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021500> block group:2",147,56,,,,,,,,,,784,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 3, Census Tract 215, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021500> block group:3",301,141,,,,,,,,,,719,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 3, Census Tract 202, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020200> block group:3",51,23,,,,,,,,,,749,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
"Block Group 2, Census Tract 202, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020200> block group:2",150,66,,,,,,,,,,1993,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 1, Census Tract 201.01, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020101> block group:1",182,78,,,,,,,,,,1056,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 2, Census Tract 201.01, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020101> block group:2",119,66,,,,,,,,,,854,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 4, Census Tract 205, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020500> block group:4",216,105,,,,,,,,,,613,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 1, Census Tract 210, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021000> block group:1",117,57,,,,,,,,,,1122,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 2, Census Tract 213, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021300> block group:2",365,215,,,,,,,,,,675,51.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 2, Census Tract 210, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021000> block group:2",103,48,,,,,,,,,,856,56.3,-666666666.0,-666666666.0,13.8,-666666666.0,-666666666.0,59.8,56.3
"Block Group 3, Census Tract 210, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021000> block group:3",92,38,,,,,,,,,,739,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 213, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021300> block group:1",677,286,,,,,,,,,,1602,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 4, Census Tract 204, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020400> block group:4",161,78,,,,,,,,,,804,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.4,45.9
"Block Group 1, Census Tract 216, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021600> block group:1",144,77,,,,,,,,,,715,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
"Block Group 2, Census Tract 216, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021600> block group:2",226,114,,,,,,,,,,1218,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2
"Block Group 2, Census Tract 218, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021800> block group:2",220,100,,,,,,,,,,785,44.4,-666666666.0,-666666666.0,23.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 2, Census Tract 201.02, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020102> block group:2",102,45,,,,,,,,,,805,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 4, Census Tract 201.02, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020102> block group:4",80,33,,,,,,,,,,1343,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 3, Census Tract 201.02, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020102> block group:3",86,39,,,,,,,,,,1466,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.4,53.8
"Block Group 3, Census Tract 206, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020600> block group:3",36,17,,,,,,,,,,565,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 4, Census Tract 206, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:020600> block group:4",55,25,,,,,,,,,,862,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 1, Census Tract 211, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021100> block group:1",76,28,,,,,,,,,,637,35.3,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.3
"Block Group 2, Census Tract 211, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021100> block group:2",117,66,,,,,,,,,,1381,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0
"Block Group 3, Census Tract 212, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021200> block group:3",179,76,,,,,,,,,,713,36.3,-666666666.0,-666666666.0,43.0,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 2, Census Tract 212, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021200> block group:2",197,80,,,,,,,,,,1114,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 1, Census Tract 212, Somerset County, Pennsylvania: Summary level: 150, state:42> county:111> tract:021200> block group:1",316,241,,,,,,,,,,1139,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
