,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9508, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950800> block group:1",211,90,,,,,,,,,,1918,40.8,-666666666.0,-666666666.0,29.0,-666666666.0,-666666666.0,7.9,42.4
"Block Group 1, Census Tract 9509, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950900> block group:1",207,97,,,,,,,,,,1258,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 3, Census Tract 9509, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950900> block group:3",132,67,,,,,,,,,,776,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 4, Census Tract 9502, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950200> block group:4",205,95,,,,,,,,,,631,44.4,34.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 3, Census Tract 9503, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950300> block group:3",307,134,,,,,,,,,,1143,44.9,-666666666.0,44.6,-666666666.0,-666666666.0,-666666666.0,3.1,44.9
"Block Group 1, Census Tract 9503, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950300> block group:1",282,132,,,,,,,,,,953,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 2, Census Tract 9508, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950800> block group:2",148,64,,,,,,,,,,1395,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0,50.9
"Block Group 4, Census Tract 9503, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950300> block group:4",466,238,,,,,,,,,,1013,49.9,-666666666.0,-666666666.0,40.3,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 2, Census Tract 9503, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950300> block group:2",221,93,,,,,,,,,,635,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 1, Census Tract 9501, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950100> block group:1",212,97,,,,,,,,,,712,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 2, Census Tract 9501, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950100> block group:2",281,121,,,,,,,,,,1151,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.5,46.3
"Block Group 3, Census Tract 9501, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950100> block group:3",648,280,,,,,,,,,,2386,44.0,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.0,44.0
"Block Group 3, Census Tract 9506, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950600> block group:3",257,97,,,,,,,,,,2003,26.2,19.6,-666666666.0,42.4,-666666666.0,-666666666.0,-666666666.0,26.3
"Block Group 2, Census Tract 9506, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950600> block group:2",168,83,,,,,,,,,,1518,26.6,19.3,-666666666.0,21.7,-666666666.0,-666666666.0,25.3,26.6
"Block Group 1, Census Tract 9506, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950600> block group:1",179,77,,,,,,,,,,935,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 4, Census Tract 9506, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950600> block group:4",205,99,,,,,,,,,,1107,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.8,49.2
"Block Group 2, Census Tract 9507, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950700> block group:2",405,190,,,,,,,,,,1343,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3,45.5
"Block Group 1, Census Tract 9507, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950700> block group:1",190,83,,,,,,,,,,717,36.5,-666666666.0,-666666666.0,27.3,-666666666.0,-666666666.0,16.4,36.5
"Block Group 4, Census Tract 9507, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950700> block group:4",99,35,,,,,,,,,,1840,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.4,30.4
"Block Group 3, Census Tract 9507, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950700> block group:3",132,49,,,,,,,,,,1605,60.0,28.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
"Block Group 1, Census Tract 9510, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:951000> block group:1",337,165,,,,,,,,,,955,40.9,-666666666.0,-666666666.0,18.5,-666666666.0,-666666666.0,3.6,41.3
"Block Group 3, Census Tract 9505, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950500> block group:3",392,195,,,,,,,,,,992,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.8,46.8
"Block Group 2, Census Tract 9504, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950400> block group:2",193,87,,,,,,,,,,664,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 2, Census Tract 9502, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950200> block group:2",211,94,,,,,,,,,,852,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 2, Census Tract 9510, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:951000> block group:2",401,182,,,,,,,,,,1287,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4,41.4
"Block Group 2, Census Tract 9509, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950900> block group:2",414,399,,,,,,,,,,1146,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.8,51.4
"Block Group 4, Census Tract 9509, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950900> block group:4",140,72,,,,,,,,,,842,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.9,36.0
"Block Group 3, Census Tract 9510, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:951000> block group:3",336,230,,,,,,,,,,851,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.1,47.4
"Block Group 2, Census Tract 9505, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950500> block group:2",451,221,,,,,,,,,,1462,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.5,43.8
"Block Group 1, Census Tract 9505, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950500> block group:1",678,387,,,,,,,,,,2388,40.7,-666666666.0,-666666666.0,35.5,-666666666.0,12.2,51.5,40.7
"Block Group 4, Census Tract 9504, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950400> block group:4",447,266,,,,,,,,,,1150,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 3, Census Tract 9504, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950400> block group:3",352,167,,,,,,,,,,1451,45.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 1, Census Tract 9504, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950400> block group:1",251,119,,,,,,,,,,940,43.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 3, Census Tract 9502, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950200> block group:3",283,123,,,,,,,,,,1076,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.9,40.1
"Block Group 1, Census Tract 9502, Tioga County, Pennsylvania: Summary level: 150, state:42> county:117> tract:950200> block group:1",413,202,,,,,,,,,,1189,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,43.9
