,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9712, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:971200> block group:2",151,185,,,,,,,,,,578,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 3, Census Tract 9712, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:971200> block group:3",142,65,,,,,,,,,,1132,46.5,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 2, Census Tract 9707, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970700> block group:2",146,67,,,,,,,,,,1634,36.5,7.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 2, Census Tract 9701, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970100> block group:2",342,189,,,,,,,,,,973,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.2,41.6
"Block Group 3, Census Tract 9702, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970200> block group:3",302,143,,,,,,,,,,1260,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 9701, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970100> block group:1",403,249,,,,,,,,,,1355,53.4,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3,53.4
"Block Group 1, Census Tract 9702, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970200> block group:1",159,72,,,,,,,,,,1036,42.3,13.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 2, Census Tract 9702, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970200> block group:2",274,141,,,,,,,,,,1606,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 3, Census Tract 9704, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970400> block group:3",253,174,,,,,,,,,,755,43.7,-666666666.0,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 1, Census Tract 9706, Warren County, Pennsylvania: Summary level: 150, state:42> county:123> tract:970600> block group:1",76,22,,,,,,,,,,516,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1,-666666666.0,50.8
