,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 8033.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803301> block group:1",59,28,,,,,,,,,,1113,42.1,-666666666.0,-666666666.0,41.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 3, Census Tract 8033.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803301> block group:3",170,81,,,,,,,,,,2743,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 2, Census Tract 8033.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803301> block group:2",122,58,,,,,,,,,,1937,57.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.9
"Block Group 1, Census Tract 8036, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803600> block group:1",361,165,,,,,,,,,,1829,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2
"Block Group 2, Census Tract 8046, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:804600> block group:2",232,115,,,,,,,,,,2394,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 1, Census Tract 8046, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:804600> block group:1",56,30,,,,,,,,,,604,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 1, Census Tract 8018, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:801800> block group:1",295,152,,,,,,,,,,677,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,55.2
"Block Group 2, Census Tract 8018, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:801800> block group:2",238,103,,,,,,,,,,1597,48.1,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.1
"Block Group 4, Census Tract 8018, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:801800> block group:4",203,81,,,,,,,,,,1136,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.4,-666666666.0,47.9
"Block Group 3, Census Tract 8018, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:801800> block group:3",464,210,,,,,,,,,,1952,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.3,48.2
"Block Group 3, Census Tract 8031, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803100> block group:3",94,43,,,,,,,,,,1043,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 1, Census Tract 8031, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803100> block group:1",173,71,,,,,,,,,,1864,42.5,-666666666.0,-666666666.0,9.9,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 2, Census Tract 8038, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803800> block group:2",162,61,,,,,,,,,,2541,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 1, Census Tract 8047.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:804701> block group:1",203,91,,,,,,,,,,965,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6
"Block Group 1, Census Tract 8035.02, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:803502> block group:1",100,42,,,,,,,,,,1085,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 2, Census Tract 8023.03, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802303> block group:2",108,48,,,,,,,,,,1417,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 8023.03, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802303> block group:1",166,71,,,,,,,,,,1748,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 8023.04, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802304> block group:2",140,50,,,,,,,,,,2469,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6,43.8
"Block Group 1, Census Tract 8023.04, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802304> block group:1",182,64,,,,,,,,,,2860,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 4, Census Tract 8059.02, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:805902> block group:4",64,30,,,,,,,,,,1128,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 1, Census Tract 8021.02, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802102> block group:1",215,91,,,,,,,,,,3665,48.6,-666666666.0,-666666666.0,25.9,-666666666.0,-666666666.0,17.2,48.5
"Block Group 2, Census Tract 8086, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:808600> block group:2",196,106,,,,,,,,,,1093,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.0,54.0
"Block Group 1, Census Tract 8021.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802101> block group:1",80,33,,,,,,,,,,1351,53.6,-666666666.0,-666666666.0,64.9,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 3, Census Tract 8021.01, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802101> block group:3",79,30,,,,,,,,,,1313,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 2, Census Tract 8022, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:802200> block group:2",189,96,,,,,,,,,,2004,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 2, Census Tract 8041, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:804100> block group:2",125,66,,,,,,,,,,1368,43.4,19.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.9,43.4
"Block Group 1, Census Tract 8041, Westmoreland County, Pennsylvania: Summary level: 150, state:42> county:129> tract:804100> block group:1",117,74,,,,,,,,,,1039,48.4,59.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
