,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 185, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:018500> block group:3",64.0,25.0,,,,,,,,,,915,35.7,-666666666.0,-666666666.0,48.2,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 2, Census Tract 185, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:018500> block group:2",136.0,43.0,,,,,,,,,,1371,46.5,71.4,-666666666.0,41.3,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 3, Census Tract 4, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:000400> block group:3",56.0,19.0,,,,,,,,,,1130,14.3,30.2,-666666666.0,-666666666.0,-666666666.0,36.2,15.9,-666666666.0
"Block Group 4, Census Tract 4, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:000400> block group:4",63.0,24.0,,,,,,,,,,826,36.4,29.7,-666666666.0,-666666666.0,-666666666.0,35.2,-666666666.0,52.2
"Block Group 1, Census Tract 4, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:000400> block group:1",68.0,27.0,,,,,,,,,,1075,39.3,29.1,-666666666.0,38.6,-666666666.0,32.6,41.3,20.9
"Block Group 2, Census Tract 4, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:000400> block group:2",52.0,21.0,,,,,,,,,,687,31.3,23.7,-666666666.0,-666666666.0,-666666666.0,41.0,-666666666.0,35.7
"Block Group 1, Census Tract 10, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:001000> block group:1",88.0,52.0,,,,,,,,,,1451,29.9,34.9,-666666666.0,39.1,-666666666.0,24.0,-666666666.0,30.1
"Block Group 2, Census Tract 10, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:001000> block group:2",65.0,44.0,,,,,,,,,,952,34.4,21.7,-666666666.0,-666666666.0,-666666666.0,58.6,32.7,29.5
"Block Group 1, Census Tract 24, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:002400> block group:1",364.0,4.0,,,,,,,,,,2070,19.9,20.7,-666666666.0,20.0,-666666666.0,21.1,19.1,19.9
"Block Group 2, Census Tract 1.01, Providence County, Rhode Island: Summary level: 150, state:44> county:007> tract:000101> block group:2",53.0,16.0,,,,,,,,,,730,29.6,18.4,-666666666.0,-666666666.0,-666666666.0,22.3,42.4,28.9
