,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9704, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970400> block group:4",96,36,,,,,,,,,,1849,43.1,36.5,7.9,-666666666.0,-666666666.0,22.3,63.7,43.3
"Block Group 3, Census Tract 9704, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970400> block group:3",42,20,,,,,,,,,,544,54.1,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 2, Census Tract 9705, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970500> block group:2",256,123,,,,,,,,,,2162,47.4,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 2, Census Tract 9704, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970400> block group:2",39,22,,,,,,,,,,905,57.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3
"Block Group 1, Census Tract 9702, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970200> block group:1",159,61,,,,,,,,,,1415,61.1,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1
"Block Group 2, Census Tract 9702, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970200> block group:2",108,70,,,,,,,,,,999,64.4,40.7,-666666666.0,5.6,-666666666.0,-666666666.0,-666666666.0,64.4
"Block Group 3, Census Tract 9702, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970200> block group:3",55,31,,,,,,,,,,596,32.0,34.1,-666666666.0,-666666666.0,-666666666.0,31.1,-666666666.0,32.0
"Block Group 3, Census Tract 9701, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970100> block group:3",32,16,,,,,,,,,,708,73.5,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,73.5
"Block Group 1, Census Tract 9701, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970100> block group:1",142,67,,,,,,,,,,1576,29.0,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0
"Block Group 2, Census Tract 9703, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970300> block group:2",63,30,,,,,,,,,,1176,39.0,18.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 3, Census Tract 9703, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970300> block group:3",63,28,,,,,,,,,,578,50.9,28.7,22.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 1, Census Tract 9704, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970400> block group:1",210,114,,,,,,,,,,984,46.3,25.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 1, Census Tract 9705, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970500> block group:1",190,107,,,,,,,,,,1879,39.8,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0,39.9
"Block Group 4, Census Tract 9702, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970200> block group:4",82,49,,,,,,,,,,751,43.9,35.9,-666666666.0,-666666666.0,-666666666.0,19.5,-666666666.0,43.9
"Block Group 2, Census Tract 9701, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970100> block group:2",40,23,,,,,,,,,,994,33.6,58.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6
"Block Group 5, Census Tract 9701, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970100> block group:5",71,30,,,,,,,,,,1340,38.4,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 4, Census Tract 9703, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970300> block group:4",114,50,,,,,,,,,,1461,52.4,27.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2,52.6
"Block Group 4, Census Tract 9701, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970100> block group:4",75,34,,,,,,,,,,1226,59.3,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 1, Census Tract 9703, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:970300> block group:1",62,29,,,,,,,,,,955,30.9,18.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.9
"Block Group 1, Census Tract 9801, Barnwell County, South Carolina: Summary level: 150, state:45> county:011> tract:980100> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
