,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 108.13, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010813> block group:2",113,43,,,,,,,,,,2375,35.5,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 1, Census Tract 108.20, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010820> block group:1",156,57,,,,,,,,,,3392,35.3,27.6,-666666666.0,33.7,-666666666.0,-666666666.0,11.2,37.6
"Block Group 3, Census Tract 108.20, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010820> block group:3",80,36,,,,,,,,,,1650,42.5,55.2,-666666666.0,16.9,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 3, Census Tract 108.16, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010816> block group:3",131,52,,,,,,,,,,3287,37.1,28.5,-666666666.0,38.7,-666666666.0,-666666666.0,24.4,38.4
"Block Group 2, Census Tract 108.16, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010816> block group:2",258,100,,,,,,,,,,6418,30.2,31.3,72.6,19.7,-666666666.0,13.6,13.3,31.5
"Block Group 2, Census Tract 108.19, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010819> block group:2",83,36,,,,,,,,,,974,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 1, Census Tract 105.05, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010505> block group:1",77,39,,,,,,,,,,2166,38.7,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.0,40.2
"Block Group 2, Census Tract 106.06, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010606> block group:2",120,55,,,,,,,,,,944,55.2,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 1, Census Tract 106.06, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010606> block group:1",115,48,,,,,,,,,,908,44.1,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1
"Block Group 2, Census Tract 106.04, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010604> block group:2",84,38,,,,,,,,,,1234,25.9,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.9
"Block Group 1, Census Tract 106.03, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010603> block group:1",204,80,,,,,,,,,,3638,40.1,20.9,-666666666.0,53.3,-666666666.0,-666666666.0,26.8,40.9
"Block Group 3, Census Tract 106.05, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010605> block group:3",74,37,,,,,,,,,,1481,59.5,16.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9
"Block Group 2, Census Tract 106.05, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010605> block group:2",110,53,,,,,,,,,,2441,49.0,32.6,-666666666.0,10.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 1, Census Tract 106.05, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010605> block group:1",174,63,,,,,,,,,,4578,35.7,20.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,35.7
"Block Group 2, Census Tract 105.03, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010503> block group:2",105,50,,,,,,,,,,1458,50.1,66.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 3, Census Tract 107, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010700> block group:3",98,47,,,,,,,,,,2531,35.9,28.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.6,35.7
"Block Group 2, Census Tract 101, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010100> block group:2",80,45,,,,,,,,,,1015,44.0,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 1, Census Tract 107, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010700> block group:1",90,41,,,,,,,,,,1250,62.7,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.7
"Block Group 2, Census Tract 107, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010700> block group:2",77,32,,,,,,,,,,1647,31.6,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6
"Block Group 3, Census Tract 103, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010300> block group:3",84,38,,,,,,,,,,1555,44.9,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 2, Census Tract 103, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010300> block group:2",146,70,,,,,,,,,,1460,34.1,57.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.1
"Block Group 2, Census Tract 105.01, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010501> block group:2",322,113,,,,,,,,,,3332,35.3,33.2,9.3,47.3,-666666666.0,23.9,10.8,35.5
"Block Group 2, Census Tract 108.09, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010809> block group:2",155,60,,,,,,,,,,1896,41.4,24.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.3,41.5
"Block Group 2, Census Tract 105.04, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010504> block group:2",109,40,,,,,,,,,,2085,35.0,40.9,-666666666.0,42.7,-666666666.0,-666666666.0,10.0,33.0
"Block Group 1, Census Tract 105.04, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010504> block group:1",134,43,,,,,,,,,,2918,35.7,40.9,-666666666.0,-666666666.0,-666666666.0,24.5,25.1,35.7
"Block Group 3, Census Tract 105.04, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010504> block group:3",79,40,,,,,,,,,,1736,52.7,23.3,-666666666.0,-666666666.0,-666666666.0,35.4,-666666666.0,52.3
"Block Group 1, Census Tract 108.07, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010807> block group:1",254,97,,,,,,,,,,3202,43.6,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.5,45.0
"Block Group 2, Census Tract 108.08, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010808> block group:2",80,37,,,,,,,,,,1638,43.5,16.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2,43.3
"Block Group 1, Census Tract 108.14, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010814> block group:1",166,59,,,,,,,,,,4156,35.5,19.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 4, Census Tract 108.18, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010818> block group:4",124,46,,,,,,,,,,2421,46.9,27.4,-666666666.0,50.8,-666666666.0,26.3,-666666666.0,50.7
"Block Group 2, Census Tract 108.18, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010818> block group:2",145,52,,,,,,,,,,4482,32.5,25.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 4, Census Tract 108.08, Dorchester County, South Carolina: Summary level: 150, state:45> county:035> tract:010808> block group:4",135,51,,,,,,,,,,3017,36.9,27.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,38.0
