,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9705.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970502> block group:2",175,85,,,,,,,,,,2170,48.5,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 3, Census Tract 9705.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970502> block group:3",55,23,,,,,,,,,,558,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 1, Census Tract 9705.01, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970501> block group:1",110,48,,,,,,,,,,1326,53.9,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,53.9
"Block Group 2, Census Tract 9705.01, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970501> block group:2",89,34,,,,,,,,,,1250,33.6,26.1,-666666666.0,-666666666.0,-666666666.0,39.7,59.3,33.5
"Block Group 3, Census Tract 9705.01, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970501> block group:3",100,40,,,,,,,,,,1759,30.0,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.9
"Block Group 2, Census Tract 9702.01, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970201> block group:2",113,62,,,,,,,,,,1021,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 1, Census Tract 9702.01, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970201> block group:1",81,48,,,,,,,,,,859,48.2,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 2, Census Tract 9703, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970300> block group:2",103,51,,,,,,,,,,1462,47.6,21.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 4, Census Tract 9703, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970300> block group:4",46,24,,,,,,,,,,456,48.7,47.5,-666666666.0,-666666666.0,-666666666.0,32.3,-666666666.0,45.6
"Block Group 1, Census Tract 9703, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970300> block group:1",137,63,,,,,,,,,,1250,59.0,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
"Block Group 2, Census Tract 9704, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970400> block group:2",253,77,,,,,,,,,,2094,41.8,34.9,-666666666.0,-666666666.0,-666666666.0,31.2,-666666666.0,41.9
"Block Group 1, Census Tract 9704, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970400> block group:1",138,67,,,,,,,,,,1244,47.3,37.3,-666666666.0,-666666666.0,-666666666.0,37.5,-666666666.0,47.3
"Block Group 1, Census Tract 9705.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970502> block group:1",187,70,,,,,,,,,,2443,42.3,-666666666.0,-666666666.0,3.7,-666666666.0,-666666666.0,17.2,42.3
"Block Group 3, Census Tract 9703, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970300> block group:3",129,60,,,,,,,,,,1206,46.4,42.0,-666666666.0,-666666666.0,-666666666.0,38.8,-666666666.0,46.4
"Block Group 3, Census Tract 9702.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970202> block group:3",306,58,,,,,,,,,,3074,45.1,41.3,43.0,-666666666.0,-666666666.0,32.0,35.4,51.7
"Block Group 5, Census Tract 9702.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970202> block group:5",108,54,,,,,,,,,,942,44.1,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.0,44.1
"Block Group 2, Census Tract 9702.02, Edgefield County, South Carolina: Summary level: 150, state:45> county:037> tract:970202> block group:2",86,41,,,,,,,,,,1005,48.6,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
