,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9205.02, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920502> block group:1",129,65,,,,,,,,,,1853,56.3,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
"Block Group 3, Census Tract 9205.04, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920504> block group:3",45,19,,,,,,,,,,844,49.2,29.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2
"Block Group 2, Census Tract 9205.04, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920504> block group:2",45,25,,,,,,,,,,1020,44.2,29.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 2, Census Tract 9205.05, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920505> block group:2",98,59,,,,,,,,,,1150,62.3,51.9,7.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.3
"Block Group 3, Census Tract 9205.05, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920505> block group:3",67,101,,,,,,,,,,867,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 1, Census Tract 9205.05, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920505> block group:1",75,61,,,,,,,,,,808,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.4
"Block Group 4, Census Tract 9205.05, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920505> block group:4",65,117,,,,,,,,,,498,63.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.2
"Block Group 1, Census Tract 9205.03, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920503> block group:1",145,79,,,,,,,,,,2560,65.0,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.0
"Block Group 2, Census Tract 9205.03, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920503> block group:2",106,62,,,,,,,,,,2138,46.6,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 3, Census Tract 9205.03, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920503> block group:3",41,24,,,,,,,,,,912,62.3,17.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.7
"Block Group 0, Census Tract 9901, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:990100> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9205.01, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920501> block group:2",30,29,,,,,,,,,,716,60.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.3,60.6
"Block Group 3, Census Tract 9205.01, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920501> block group:3",43,24,,,,,,,,,,700,55.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.0
"Block Group 1, Census Tract 9207, Georgetown County, South Carolina: Summary level: 150, state:45> county:043> tract:920700> block group:1",19,7,,,,,,,,,,590,-666666666.0,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
