,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 110.02, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:011002> block group:1",211,86,,,,,,,,,,2174,45.6,36.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 2, Census Tract 101, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010100> block group:2",142,62,,,,,,,,,,1641,40.4,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 101, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010100> block group:1",168,70,,,,,,,,,,2253,35.0,46.3,-666666666.0,58.0,-666666666.0,-666666666.0,-666666666.0,35.3
"Block Group 1, Census Tract 111, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:011100> block group:1",86,35,,,,,,,,,,1962,43.9,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 2, Census Tract 111, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:011100> block group:2",100,44,,,,,,,,,,1777,54.4,44.3,-666666666.0,24.9,-666666666.0,-666666666.0,-666666666.0,54.4
"Block Group 1, Census Tract 103, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010300> block group:1",91,34,,,,,,,,,,1886,36.0,58.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
"Block Group 2, Census Tract 103, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010300> block group:2",81,31,,,,,,,,,,1702,41.1,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.5,41.1
"Block Group 2, Census Tract 107, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010700> block group:2",73,40,,,,,,,,,,983,49.7,33.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.3
"Block Group 3, Census Tract 107, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010700> block group:3",92,58,,,,,,,,,,1178,56.7,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.7
"Block Group 4, Census Tract 102, Lancaster County, South Carolina: Summary level: 150, state:45> county:057> tract:010200> block group:4",133,56,,,,,,,,,,1533,36.1,16.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.8,36.1
